Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,-0.025508422100165185,0.7772940831176859,0.528768963056397,-0.02447847359601532,0.3741847920242253,0.7450194468987309,0.7532885054614284,-0.0022770648151841095,0.060494623295839635,0.09716057352310965,0.12989237865865316,0.06063384511512286,0.0,0.0,0.0,0.0,0.0,0.0,0.3722226248100725,0.5981961954523625,0.4679215346391639,0.33230290014421876,0.0,0.25574170887352565,0.21067282719122316,0.4352445080863043,0.4730498670648581,0.0,0.14843690693448336,0.045776264409383725,0.046351874504660634,0.16246759539719158,0.0,0.03506647480753055,0.013504551959982769,0.02067499241159463,0.01359665239736626,0.0
anneal,-0.01870849266222201,0.07783456702605226,0.08784331552976873,-0.02009820606396616,0.01623488342495829,0.03896725066053293,0.01576061556093192,-0.00037732071529072005,0.03743739568119395,0.152591862307998,0.1549900145108311,0.003997428064808537,0.017685309062532597,0.1663273803508627,0.17809007702759047,0.13861876744270377,0.0,0.09751982652156085,0.14924589733534335,0.38747126674787036,0.32452013030860705,0.18718545221139923,0.14189296143862606,0.17286044691261945,0.4327010721714043,0.2551555412443886,0.17283991869056664,0.14829753811211902,0.041049827483604646,0.11891256473532132,0.09963314261379924,0.02862467903068328,0.015696271076975375,0.0027430524606778307,-0.00039574496903005,0.004804939389064169,0.002671953973526553,0.0029929359558507995
australian,-0.03350403634377555,0.22313597322113923,0.2853760139338809,-0.03527811416296954,0.05244096031779579,0.06342928862405448,0.21583249286157283,-0.03496003637603811,0.03660182628399673,0.074626542822741,0.15553989504496338,0.041129141512768516,0.19082826055629057,0.2195735988464048,0.16729304961948255,0.2610003186713032,0.0,0.12081009082186098,0.21699966562792844,0.2411830852585002,0.22099064199440263,0.12900296520144416,0.368017140194399,0.18986298674580343,0.1612287441066329,0.2591064555429606,0.09046516651798842,0.21790497680215942,0.09555285593511073,0.026717806345322836,0.02954858522769592,0.05688791447092136,-0.009629726488950845,0.01684797360687651,0.0180449663216278,0.015073697257712048,0.02320356864759,0.0127728319925303
crx,-0.03580904718518068,0.24606713296028399,0.26677703231929484,-0.03736272113814682,0.05409489995513199,0.08638113749674987,0.19236645247509349,0.04690916002469983,0.01086896589433694,0.049078044618668694,0.03970375669389713,0.08159991788357746,0.15695503868640084,0.08851858028096211,0.11151360218582206,0.10965854088601162,0.0,0.09475122651607269,0.09972303410641305,0.15994325814790977,0.13206147761652934,0.19918225865961478,0.22261141598880346,0.07644735003417404,0.09565945230788372,0.14140933034577016,0.1510196788739464,0.11220544351081277,0.04667405182247314,0.01777417332436328,0.026662716952625037,0.10415977876300049,0.0036328171691061635,0.02002153767170883,0.02151672079169832,0.03585060018097843,0.00744814704774366,0.02418870802178193
german,-0.012323001306777987,0.04585249950448691,0.026022544560714938,-0.01385209285143153,0.04597128284501224,0.01591595254151649,0.02892044942454967,-0.0180533346566264,0.03741890613685232,0.005329977146442841,0.016459254965828656,0.009747471628108358,0.013571770011134875,0.030771450491275328,0.027911427424011287,0.038939693007854895,0.0,0.039857479618011005,0.022836407044070226,0.02927288275607812,0.029197507638218517,0.008497874543447937,0.034876615134084715,0.03140781339112082,0.024437697319817042,0.03423812346440857,0.016126857853363336,0.02961230926600533,0.022322466221122116,0.012758359445319993,0.03008004741257075,0.03277905459736202,0.02834162086744997,0.011436185476256749,0.00949884085641054,0.007505962427991411,0.00957530886826939,0.0018104893701720332
heart,-0.0306983589073098,0.1433947122991649,0.21459427714709642,-0.027973331556003088,-0.00785431638086903,0.2341285626377394,0.09839379676669349,-0.01605293701174685,0.11330600243976342,0.13443738042900405,0.10287683462370277,0.028401048144859886,0.11112722459960857,0.062111105887048254,0.0548087275353477,0.08295970178370653,0.0,0.15801901543792943,0.15435983894587885,0.13640436302490483,0.22583892039721434,0.06565624536505466,0.2825394677842728,0.14681363494899394,0.10110879603472993,0.2073778973934024,0.09134468569431148,0.22600841000922692,0.029177931637895116,0.025293746208932488,0.02512487923451378,0.05116514789966357,0.02707194150303145,0.03497323867471388,0.02149383465929853,0.02369500651914062,0.013187922362134799,0.052013005958530034
scenario-1-4-rcat-0-icat,-0.02407514182334647,0.991560587792745,0.9922969915081672,0.0,0.9443108796160692,0.0,0.98827291579373,-0.0240754931831718,0.6777358381393536,0.5079824315909072,0.5532992591002974,0.43904380780449215,0.43947097272549585,0.0,0.0,0.0,0.0,0.0,0.9984652796906197,0.9980249075927798,0.9988025253322259,0.8846830070810748,0.9987317617780311,0.9987726034190116,0.9984767153407942,0.9987726034190116,0.9819544280202093,0.9987726034190116,0.5663103848546597,0.4817163873244169,0.7764950691804436,0.7059548065547462,0.6817062648875961,0.0,0.0,0.0,-0.005004993029306,-0.0052571784222713
scenario-1-5-rcat-0-icat,-0.024075308977228437,0.9943648492708724,0.9947629234780602,0.0,0.9740563070850212,0.0,0.9932858279993309,-0.0240754942192235,0.689705922931963,0.48104150606656626,0.5602519011336522,0.43986862054808623,-0.9745597858065619,0.0,0.0,0.0,0.0,0.0,0.9986747099790525,0.9985122524066676,0.9988025253322259,0.9017030066449607,-2.2135369993438596,0.9987726034190116,0.9985548360594171,0.9987726034190116,0.9847635340989778,-2.2135359082166497,0.6034453794064658,0.4486023012050155,0.7548134790047334,0.6969803438264026,-1.4813506261369074,0.0,0.0,0.0,-0.0052189434796263,0.0532666445527202
scenario-1-6-rcat-0-icat,-0.0240754325111962,0.9969635139235709,0.9973463596065096,0.0,0.9910900462916932,0.0,0.9963871757831484,-0.0240754942454448,0.6685881097045314,0.4685420726407501,0.5473729245363554,0.4482458216864349,-0.8733400198002714,0.0,0.0,0.0,0.0,0.0,0.9988007541654129,0.9987709611765887,0.9988025253322259,0.9025586862472235,-2.213537963153006,0.9988025253322259,0.9987652386327005,0.9988025253322259,0.9866745159468335,-2.213537966401549,0.6247415732119617,0.4323466333805883,0.7601459091673979,0.6941732899000292,-1.4077000479893989,0.0,0.0,0.0,-0.0054143051863317,0.0595020224204958
scenario-1-7-rcat-0-icat,-0.0240754401154824,0.9978361561522182,0.9977666619068998,0.0,0.9957864278191532,0.0,0.9976117211855836,-0.0240754942454448,0.6896280316078038,0.5186659608612574,0.605033244879462,0.45600232912533906,-1.0023955397327917,0.0,0.0,0.0,0.0,0.0,0.998749025485685,0.9987938872271267,0.9988025253322259,0.9175844326134703,-2.213537966401549,0.9988025253322259,0.9988023887900747,0.9988025253322259,0.9870503566545764,-2.213537966401549,0.6397528481226499,0.41484771113140306,0.7392650790265668,0.6907795720876384,-1.336798741172729,0.0,0.0,0.0,-0.0062095416367933,0.0707167276241616
