Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.046044676470079995,-0.00892342932486152,-0.012422246489803609,0.04379875678412619,0.02073850233410955,-0.01081836622969982,-0.01690302862409242,-0.0013904717888224998,0.008759715640646662,0.008703318625556993,0.010650537169821893,-0.013364088066453289,0.01199465673136364,0.0,0.0,0.0,0.0,0.011573141272746869,0.002026260497287541,-0.012393813956236238,-0.01262402380432135,-0.008345813819687438,-0.011921309939521093,0.022752693395050178,0.021369667852825337,-0.010144777485127533,-0.009527618150087203,-0.012024520480839799,0.009424875912935237,0.007962321719318257,-0.001184690838406207,-0.006901625233960126,-0.0012929445720329456,0.0,0.0,0.0,-0.0008164517585604,0.0
german,-0.012323001306777987,0.04585249950448691,0.026022544560714938,-0.01385209285143153,0.04597128284501224,0.01591595254151649,0.02892044942454967,-0.0180533346566264,0.03741890613685232,0.005329977146442841,0.016459254965828656,0.009747471628108358,0.013571770011134875,0.030771450491275328,0.027911427424011287,0.038939693007854895,0.0,0.039857479618011005,0.022836407044070226,0.02927288275607812,0.029197507638218517,0.008497874543447937,0.034876615134084715,0.03140781339112082,0.024437697319817042,0.03423812346440857,0.016126857853363336,0.02961230926600533,0.022322466221122116,0.012758359445319993,0.03008004741257075,0.03277905459736202,0.02834162086744997,0.011436185476256749,0.00949884085641054,0.007505962427991411,0.00957530886826939,0.0018104893701720332
hepatitis,-0.0087408612072526,0.0572139303482587,0.1819747416762342,-0.0091245682614496,0.0091715336361669,0.2903131401814456,0.1443037338559726,-0.0095485928004632,0.11286419759715097,0.08148614854118519,0.09594200384238083,0.0064236528861203995,0.07578851820361077,0.0275733386795256,0.0648721992005574,0.0223046598086293,0.0,0.035033167495854,0.1685148430172792,0.11142191142191138,0.08675764592781934,0.029687765481089562,0.13169465615682802,0.0765490584678462,0.08403305947910504,0.07022006002105496,0.06528212571525417,0.06351184850389306,0.008563187715390367,0.002432966894430067,0.007092475017317699,0.008688018774951201,0.013284146064319532,0.0290247358355095,0.0205347904352879,0.0265054040144107,-0.0070062147176575,0.0112166369039896
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.08623484776914656,0.19040363918796482,0.10247007587673566,0.05362676968799281,0.06726208392911052,0.394342418145235,0.4701262252277164,0.4317638416978576,0.0,0.32601840548741945,0.5087940658715306,0.8027162977867203,0.7804687722293356,0.08449968346930825,0.7619748170452396,0.5924241214482663,0.7476735593938814,0.616486295027859,0.24005006065360263,0.47070272786500383,0.2867722672008237,0.14211830681268406,0.3894783234817643,0.15995431760801768,0.3162304678262465,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
scenario-1-9-rcat-1-icat,-0.0240754941667194,0.998802525332226,0.9987292070844204,0.0,0.9983576160170552,0.0,0.9982171776682254,-0.0240754942454448,0.6796372394010175,0.5258006723110056,0.6122083716716864,0.39313108872203995,-0.9512851518808698,0.0,0.0,0.0,0.0,0.0,0.9988025253322259,0.9988025253322259,0.9988025253322259,0.8432292963675756,-2.213537966401549,0.9988025253322259,0.9988025253322259,0.9988025253322259,0.9446016323012263,-2.213537966401549,0.7233419152246847,0.40605228893032824,0.8367722400117259,0.6914455601347265,-1.3742618796857855,0.0,0.0,0.0,-0.0048353697244065,0.0979403511184011
scenario-1-9-rcat-2-icat,-0.0240754941667194,0.998802525332226,0.9987280007356526,0.0,0.998502888721062,0.0,0.9980641591784192,-0.0240754942454448,0.6300701094551965,0.4562620270216139,0.5439133763999366,0.3574934872629255,-1.029926976470056,0.0,0.0,0.0,0.0,0.0,0.9988025253322259,0.9987970461069751,0.9988025253322259,0.5222350927281616,-2.213537966401549,0.9988025253322259,0.9988025253322259,0.9988025253322259,0.85565807127235,-2.213537966401549,0.7930499302968461,0.40655381367246246,0.8809881817974974,0.6344070785776806,-1.6601097012697508,0.0,0.0,0.0,-0.0042149567002979,0.0614740201488554
scenario-1-9-rcat-3-icat,-0.0240754941667194,0.998802525332226,0.9987304160246996,0.0,0.9985854537566294,0.0,0.997953007736009,-0.0240754942454448,0.6151135012920924,0.4367770941645855,0.49640669708386576,0.3215902190313467,-0.9571967098150266,0.0,0.0,0.0,0.0,0.0,0.9988025253322259,0.9986896538951205,0.9988025253322259,0.5764509052089156,-2.213537966401549,0.9988025253322259,0.9988025253322259,0.9988025253322259,0.8356500130880761,-2.213537966401549,0.8824638497388795,0.4072377432134224,0.9071540865575599,0.6265690444630243,-1.8169010455138743,0.0,0.0,0.0,-0.0049660518042885,0.0583355764804993
scenario-1-9-rcat-4-icat,-0.0240754941667194,0.998802525332226,0.9987340584783864,0.0,0.9986879880186328,0.0,0.9978594587982216,-0.0240754942454448,0.6152789484154708,0.43642874097226214,0.5018318155598881,0.287907365514502,-1.0049759601556805,0.0,0.0,0.0,0.0,0.0,0.9988025253322259,0.9986130320278968,0.9988025253322259,0.4193222539342898,-2.2135379620767015,0.9988025253322259,0.9988025253322259,0.9988025253322259,0.8242525229926487,-2.213537966401549,0.8787031869602622,0.4082531961270547,0.9186743250087325,0.6482913359044814,-1.8873619817812866,0.0,0.0,0.0,-0.0049174718644918,0.0300759528680206
scenario-1-9-rcat-5-icat,-0.0240754941667194,0.998802525332226,0.9987292070844204,0.0,0.9986946792923718,0.0,0.9977993412131498,-0.0240754942454448,0.5963277505839204,0.4531877356776176,0.4499989398895271,0.35710634783040496,0.3936518761327103,0.0,0.0,0.0,0.0,0.0,0.9988025253322259,0.9986348220230312,0.9988025253322259,0.45185069111103654,0.9988021166378,0.9988025253322259,0.9988025253322259,0.9988025253322259,0.8235161329780777,0.9988025253322259,0.8789049870323922,0.40837335994292534,0.9214591864357906,0.6420335302283884,0.8152152584041475,0.0,0.0,0.0,-0.005571659458844,-0.0039916647515403
scenario-1-9-rcat-6-icat,-0.0240754941667194,0.998802525332226,0.9987377245587998,0.0,0.998697353361577,0.0,0.9977472144251638,-0.0240754942454448,0.5563540962474993,0.47492012356202007,0.5254675279567824,0.26416554888153226,0.39057009069614057,0.0,0.0,0.0,0.0,0.0,0.9988025253322259,0.9984529171354166,0.998795895369177,0.41091614994884684,0.9988022525589532,0.9988025253322259,0.9988025253322259,0.9988025253322259,0.8146454963231825,0.9988025253322259,0.8664488585933349,0.40928314166472546,0.9063729969165883,0.6550897575408031,0.8286361418492907,0.0,0.0,0.0,-0.0038109720420491,-0.0039227486289672
