Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.5303732547658406,0.5393173016515853,0.5322970742429856,0.5592798632261459,0.5899430143868271,0.618123676622514,0.5580261028566116,0.4833477875944571,0.4904515237224214,0.5005283257540258,0.5026726337509264,0.4051943754884339,0.5,0.597727076666879,0.5895274457110715,0.5378966217961956,0.5724809107646857,0.5,0.5590317822605251,0.5083002223152846,0.4872797968191302,0.4244934313094047,0.5,0.5530348344819473,0.5441660663567174,0.4843928657956178,0.3992419852766412,0.5,0.5649933086381628,0.5360473825175408,0.5106732013847993,0.46965749467647677,0.5,0.4786998214913119,0.48208592133893385,0.46928298691000137,0.5222980461619355,0.5
nursery,0.5,0.5,0.5,0.5,0.7342992874109263,0.3231833777201948,0.0489289570287195,0.6836787111015139,0.49142743347969003,0.5,0.5352525732383215,0.5035236929868758,0.4430444948295304,0.5594358819789342,0.5,0.40489201696297894,0.5,0.3995556515271479,0.5434707406607644,0.5,0.46818028263633965,0.5215268600494254,0.6135190863504403,0.5517973439861801,0.5,0.5,0.5260347777057991,0.5865002039396339,0.5548314019050361,0.5,0.5,0.5286158437102617,0.5841675184145493,0.5050581827778978,0.5,0.5,0.5,0.5
scenario-1-1-rcat-0-icat,0.031413218006015035,0.9778677213738568,0.9816203151149672,0.5,0.9450608223672284,0.5,0.96915082333246,0.011055925220586,0.6822805636289445,0.5592260833194167,0.5626918398083018,0.5423519014043866,0.5743300417143538,0.5,0.5,0.5,0.5,0.9900945965407932,0.9932199683975979,0.9941095264797793,0.9944581845267735,0.976927105596863,0.9947184268356895,0.9994740029641296,0.9885814744961772,0.9994740029641296,0.997887387332176,0.9994740029641296,0.8926510530218648,0.7152671508657209,0.9041196850331371,0.9624371322607514,0.8965634462399116,0.5,0.5,0.5,0.4690791650898661,0.4675348900631689
scenario-1-2-rcat-0-icat,0.0137196754233783,0.9918585383940076,0.9923933738117818,0.5,0.983921167123492,0.5,0.9879549037602672,0.002301522308344,0.6309611071616621,0.4581495020119209,0.5650418056421626,0.46445155558075035,0.5838139255362016,0.5,0.5,0.5,0.5,0.9974233674943658,0.9991039112824355,0.998627877118339,0.998894745819755,0.9865609482559183,0.9989920605859108,0.9998334847572545,0.9995479817208601,0.999929254641922,0.9986655639277068,0.999929254641922,0.6277509487615157,0.6893697215485177,0.891239232431378,0.9363561525096792,0.8810776786840572,0.5,0.5,0.5,0.4706021820365776,0.4698847377965853
scenario-1-3-rcat-0-icat,0.004987520081331367,0.997376318830854,0.9974521584675592,0.5,0.9933534985054228,0.5,0.9962235946557828,9.559752185688136e-05,0.6793847120060018,0.5213663334063641,0.5445102157522755,0.5467479382854318,0.5912063877402292,0.5,0.5,0.5,0.5,0.5,0.9998868023200289,0.999694573099451,0.9999025830929191,0.9889228550022752,0.9998557897817196,0.9999982891395087,0.9999190884279952,0.9999984040480492,0.99885417352926,0.9999984040480492,0.7768200491399989,0.6853874862811971,0.8810812727678504,0.8866276303203293,0.8583091642369893,0.5,0.5,0.5,0.4735537355745094,0.4727113602158033
scenario-1-4-rcat-0-icat,0.0014645519069114335,0.9990993723950872,0.9990892859787578,0.5,0.9969901622968224,0.5,0.998765307732732,1.0405606719647112e-05,0.7305972556520958,0.6374646081695376,0.6511807331318094,0.5634629942152487,0.5477708573045316,0.5,0.5,0.5,0.5,0.5,0.9999742924059755,0.9999198832120666,1.0,0.9821145942017662,0.999996393148591,0.9999984040480492,0.999962159979245,0.9999984040480492,0.9991310711927353,0.9999984040480492,0.7930378766638119,0.6653908977880872,0.8684793042058058,0.8205823124347894,0.8407467535783797,0.5,0.5,0.5,0.4718345761330365,0.4713310852115773
scenario-1-5-rcat-0-icat,0.0010972063265407333,0.9994135195770956,0.9993561291449424,0.5,0.9985014011181368,0.5,0.99928865229646,4.468665462425133e-07,0.7259508841318455,0.5498853404280419,0.6018373971377049,0.5821294684739482,0.45611616985320824,0.5,0.5,0.5,0.5,0.5,0.9999922436735188,0.9999736540251952,1.0,0.9838396778168808,1.0086416329474294e-06,0.9999984040480492,0.9999683107780637,0.9999984040480492,0.9991320319558099,1.59595195086611e-06,0.8253888249656935,0.63921756987333,0.8526281689860318,0.807897051140429,0.18069737610178138,0.5,0.5,0.5,0.4710873195106019,0.5138195713758229
scenario-1-6-rcat-0-icat,0.0005663714283233333,0.9996919174354048,0.999628015519292,0.5,0.9993708119028906,0.5,0.9996116729713154,0.0,0.7254891560810366,0.5909126144808253,0.5886091419191973,0.595823499077412,0.4790478863467714,0.5,0.5,0.5,0.5,0.5,0.9999999170104985,0.999998346593779,1.0,0.9816936012285511,3.83028468207885e-08,1.0,0.9999974783959177,1.0,0.999249184404715,0.0,0.8411719726323605,0.6280198730490445,0.8595329465767214,0.8018628493794173,0.2021118146918485,0.5,0.5,0.5,0.4688861506609283,0.5170280412588052
scenario-1-7-rcat-0-icat,0.0005103215958089,0.9997661611201591,0.9996516356081648,0.5,0.9998328080736272,0.5,0.9997166227716042,0.0,0.7418246244150517,0.6204525551573762,0.6470609108468045,0.6013286363829039,0.44538598800150553,0.5,0.5,0.5,0.5,0.5,0.9999960867258165,0.9999995850524928,1.0,0.9838613763796047,0.0,1.0,0.9999999936161922,1.0,0.9993460937990755,0.0,0.8606156212287654,0.615267278541877,0.8425767869937832,0.8003564909791688,0.22219020529815187,0.5,0.5,0.5,0.4627410334312354,0.519327361153457
scenario-1-8-rcat-0-icat,0.0005147902612713,0.9997666079867054,0.9996507418750724,0.5,0.9999020085502168,0.5,0.9997004717378614,0.0,0.7335322336330659,0.5827479030468127,0.6613389513395527,0.6214215980305187,0.4574972077224667,0.5,0.5,0.5,0.5,0.5,0.9999924032687139,0.9999950589327602,1.0,0.9843131903768949,6.383807803464751e-09,1.0,0.9999999936161922,1.0,0.9993857851240936,0.0,0.8649080935958151,0.6015214146109529,0.8368217842589599,0.798972765526825,0.24078448826630588,0.5,0.5,0.5,0.4646225011861114,0.5204033200396919
