Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,-0.0100632547441058,-0.0100632547441058,0.0476546455269859,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,0.05054054054054049,0.0447687505134313,0.059198225581204245,-0.0100632547441058,0.041882855499876734,0.0,0.0,0.0,0.0,0.10537254579807769,0.05054054054054049,0.05342643555409508,0.07939949067608638,0.01879569539144,0.05342643555409508,0.08228538568964097,0.07074180563542262,0.08517128070319555,-0.00429146471699664,0.059198225581204265,0.01013801035077626,0.01013801035077626,0.033225170459212985,0.00436622032366712,0.044768750513431335,0.0476546455269859,0.01879569539144,0.01879569539144,0.01879569539144,0.01879569539144
thyroid_disease_variant1ori,0.1256643857806226,-0.034535543534817005,-0.0537595350526698,0.1256643857806226,0.01886443290366284,-0.0537595350526698,-0.0537595350526698,-0.030975545105585,0.004197239375227043,0.0034140397207959995,0.009038837238982545,-0.04436113919949732,0.012456435731045257,0.0,0.0,0.0,0.0,0.00937110375904424,0.0238484307045876,-0.04457473910525124,-0.04386273941940484,-0.03937714139857252,-0.046639538194205805,0.11505559046151123,0.1146283906500034,-0.026062747273244872,-0.025777947398906317,-0.03358621062035514,0.022068431489971622,0.014236434945661234,-0.006269156006715015,-0.024567547932967428,0.0008271075288873996,0.0,0.0,0.0,-0.0110395539018859,0.0
ecoli,-0.0275229357798165,0.0866462793068297,0.4291539245667686,-0.0275229357798165,-0.0275229357798165,0.200815494393476,-0.0275229357798165,-0.0275229357798165,0.6232415902140672,0.5775739041794087,0.691743119266055,0.0866462793068297,0.6118246687054026,0.2807339449541284,0.2807339449541284,0.2807339449541284,0.0,0.26931702344546377,0.5775739041794088,0.5319062181447503,0.6574923547400611,0.12089704383282358,0.44057084607543323,0.6118246687054026,0.6118246687054026,0.6118246687054026,0.20081549439347599,0.5547400611620794,0.4063200815494393,0.39490316004077464,0.3378185524974515,0.09806320081549433,0.23506625891946992,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165
heart,-0.06994871794871789,0.16410256410256413,0.30620512820512824,-0.06994871794871789,-0.003076923076923033,0.22261538461538466,0.11394871794871797,-0.06158974358974352,0.11144102564102566,0.15574358974358976,0.09973846153846155,0.03203076923076927,0.1278803418803419,0.026179487179487218,-0.010042735042734997,0.05125641025641029,0.0,0.16874643874643874,0.16744615384615386,0.12983076923076925,0.2568871794871795,0.03453846153846157,0.23933333333333334,0.17768589743589744,0.07319871794871799,0.2267948717948718,0.09305128205128207,0.2267948717948718,-0.03860256410256404,-0.016660256410256355,-0.03964743589743584,0.05857051282051284,-0.017008547008546957,-0.011435897435897383,-0.011435897435897381,-0.036512820512820454,-0.003076923076923022,-0.0030769230769230375
hepatitis,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,0.1293532338308458,0.05970149253731345,0.0248756218905473,-0.044776119402985,-0.00995024875621885,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.0,-0.044776119402985,-0.009950248756218852,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.009950248756218852,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985
lymphography,-0.0422535211267605,0.6525821596244131,0.8262910798122066,-0.0422535211267605,0.6525821596244131,0.6525821596244131,0.6525821596244131,-0.0422535211267605,0.18356807511737086,0.2356807511737089,0.09671361502347423,0.13145539906103282,0.09671361502347416,0.2704225352112676,0.4788732394366197,0.5483568075117371,0.0,0.2704225352112676,0.5309859154929577,0.895774647887324,0.895774647887324,0.1314553990610328,0.8262910798122066,0.7518443997317237,0.8262910798122066,0.6525821596244131,0.3051643192488263,0.6525821596244131,0.2307176391683434,0.21830985915492956,0.37961099932930914,0.2307176391683434,0.3299798792756539,0.1314553990610328,0.1314553990610328,-0.0422535211267605,-0.0422535211267605,-0.0422535211267605
nursery,0.10446987691643268,0.1044698769164327,0.1044698769164327,0.1044698769164327,0.1044698769164327,-0.0261282660332541,-0.0261282660332541,0.0671561217879507,-0.01244655581947737,0.1044698769164327,0.0077650615417836286,0.017093500323902888,-0.018043619088749702,-0.0008637443316778249,0.0,-0.009803498164543251,0.0,-0.0261282660332541,0.0012351543942992894,0.1044698769164327,-0.009958972144245262,0.07803930036709074,-0.015245087454113532,-0.00467285683437699,0.1044698769164327,0.1044698769164327,0.08425825955517105,0.029842366659468787,-0.01182465990066934,0.1044698769164327,0.1044698769164327,0.019581083999135544,-0.0065385445908010915,0.073375080976031,0.0,0.1044698769164327,0.0,0.1044698769164327
cmc-nominal,0.0611023414890818,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,0.0986582478295185,0.023546435148645,0.008524072612470379,-0.0064982899237043005,-0.04780978689818463,0.0010128913443830396,0.0,0.0,0.0,0.00852407261247036,0.03856879768481969,-0.0140094711917916,-0.0027426992896606205,0.016035253880557678,-0.0140094711917916,0.038568797684819724,0.0010128913443830396,0.023546435148645,0.034813207050776104,-0.0140094711917916,0.03105761641673238,0.03481320705077609,0.019790844514601343,-0.014009471191791611,-0.04405419626414096,0.0010128913443830298,-0.0140094711917916,-0.0515653775322283,-0.0140094711917916,-0.0140094711917916,-0.0515653775322283
Average ADJ_R_PRECISION,0.012±0.07,0.157±0.23,0.2±0.31,0.003±0.07,0.085±0.23,0.159±0.24,0.074±0.24,-0.006±0.06,0.139±0.21,0.149±0.19,0.123±0.23,0.015±0.07,0.108±0.21,0.066±0.13,0.088±0.19,0.103±0.21,0.001±0.0,0.099±0.13,0.166±0.25,0.203±0.34,0.226±0.36,0.036±0.07,0.191±0.3,0.211±0.3,0.222±0.32,0.206±0.28,0.074±0.12,0.184±0.27,0.076±0.16,0.088±0.15,0.094±0.17,0.037±0.09,0.068±0.14,0.019±0.06,0.002±0.06,-0.005±0.05,-0.015±0.02,-0.006±0.05
Average Rank,19.5±14.6,16.0±12.67,12.25±11.97,20.5±14.56,16.625±11.65,20.125±13.97,23.125±11.62,23.125±12.44,13.625±10.56,10.75±6.25,14.0±9.75,25.5±8.28,16.125±11.17,19.25±5.78,18.875±6.17,18.5±6.65,20.875±8.72,13.5±11.21,12.25±6.52,12.125±10.76,11.625±12.82,21.0±6.68,13.25±13.5,9.375±8.42,6.625±5.4,7.5±8.37,20.0±6.52,11.375±8.28,18.375±11.08,15.25±9.97,19.0±11.49,22.5±7.13,19.125±7.72,20.125±7.92,23.5±8.78,20.125±11.42,23.0±6.93,21.25±12.34
