Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,-0.0044046251623684,0.0051978281814975,0.0460077041063918,-0.0043695516821371,-0.0016200363825632,0.0091002191069957,0.0179867149820751,-0.0036306590828821,0.016915634755530297,0.02118783167459205,0.03288418086932495,-0.001340743951763789,0.014058288418115138,0.0,0.0,0.0,0.0,0.058825333032218374,0.03267836865116814,0.04804162343423066,0.05790178533998012,0.0101614155192889,0.04588542434919868,0.05062897449533961,0.04515872168484726,0.07470783792916097,0.01040208953253846,0.05527208877069686,0.01914008673797464,0.013066995741055501,0.024067760130197978,0.01690411219936866,0.02426016430877452,0.009439517957795,0.0125699316196916,0.0059600853559222,0.0198420421358549,0.0056733195138986
thyroid_disease_variant1ori,0.046044676470079995,-0.00892342932486152,-0.012422246489803609,0.04379875678412619,0.02073850233410955,-0.01081836622969982,-0.01690302862409242,-0.0013904717888224998,0.008759715640646662,0.008703318625556993,0.010650537169821893,-0.013364088066453289,0.01199465673136364,0.0,0.0,0.0,0.0,0.011573141272746869,0.002026260497287541,-0.012393813956236238,-0.01262402380432135,-0.008345813819687438,-0.011921309939521093,0.022752693395050178,0.021369667852825337,-0.010144777485127533,-0.009527618150087203,-0.012024520480839799,0.009424875912935237,0.007962321719318257,-0.001184690838406207,-0.006901625233960126,-0.0012929445720329456,0.0,0.0,0.0,-0.0008164517585604,0.0
ecoli,-0.007180353026278966,0.0559956643492277,0.2545270208332902,-0.0116473436961802,0.014457810795991,0.2494158049061558,0.0256288413213482,-0.0109368784519277,0.5106751026214972,0.4720421586699361,0.5717325677051173,0.013481943115441462,0.502701275313726,0.15047890685326043,0.15047890685326043,0.15047890685326043,0.0,0.16453837444627004,0.44961308495602603,0.43334165604522623,0.46633705030961464,0.02769938398697306,0.3926624596673949,0.45543040319922656,0.45543040319922656,0.45543040319922656,0.11084748089078611,0.40883972578286104,0.24382025185610293,0.24464480729839538,0.22399895321285546,0.09267667016764108,0.15598573082945216,-0.0030508926596782,-0.0050771099787592,-0.0015398460560601,-0.0016452949150968,-0.0029240263842238
heart,-0.0306983589073098,0.1433947122991649,0.21459427714709642,-0.027973331556003088,-0.00785431638086903,0.2341285626377394,0.09839379676669349,-0.01605293701174685,0.11330600243976342,0.13443738042900405,0.10287683462370277,0.028401048144859886,0.11112722459960857,0.062111105887048254,0.0548087275353477,0.08295970178370653,0.0,0.15801901543792943,0.15435983894587885,0.13640436302490483,0.22583892039721434,0.06565624536505466,0.2825394677842728,0.14681363494899394,0.10110879603472993,0.2073778973934024,0.09134468569431148,0.22600841000922692,0.029177931637895116,0.025293746208932488,0.02512487923451378,0.05116514789966357,0.02707194150303145,0.03497323867471388,0.02149383465929853,0.02369500651914062,0.013187922362134799,0.052013005958530034
hepatitis,-0.0087408612072526,0.0572139303482587,0.1819747416762342,-0.0091245682614496,0.0091715336361669,0.2903131401814456,0.1443037338559726,-0.0095485928004632,0.11286419759715097,0.08148614854118519,0.09594200384238083,0.0064236528861203995,0.07578851820361077,0.0275733386795256,0.0648721992005574,0.0223046598086293,0.0,0.035033167495854,0.1685148430172792,0.11142191142191138,0.08675764592781934,0.029687765481089562,0.13169465615682802,0.0765490584678462,0.08403305947910504,0.07022006002105496,0.06528212571525417,0.06351184850389306,0.008563187715390367,0.002432966894430067,0.007092475017317699,0.008688018774951201,0.013284146064319532,0.0290247358355095,0.0205347904352879,0.0265054040144107,-0.0070062147176575,0.0112166369039896
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.08623484776914656,0.19040363918796482,0.10247007587673566,0.05362676968799281,0.06726208392911052,0.394342418145235,0.4701262252277164,0.4317638416978576,0.0,0.32601840548741945,0.5087940658715306,0.8027162977867203,0.7804687722293356,0.08449968346930825,0.7619748170452396,0.5924241214482663,0.7476735593938814,0.616486295027859,0.24005006065360263,0.47070272786500383,0.2867722672008237,0.14211830681268406,0.3894783234817643,0.15995431760801768,0.3162304678262465,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
nursery,0.061797356576098,0.061797356576098,0.061797356576098,0.061797356576098,0.0719138563843299,-0.0087219489810445,-0.012647683591373,0.0297594967237201,-0.0013107429381201698,0.06179735657609799,0.00681341143823949,-0.036053665719420286,-0.00323366756755586,0.0049955224707984875,0.0,0.0013688661360733367,0.0,-0.0039897060665765,0.00356877308524425,0.061797356576098,-0.0010769608210228602,-0.6191531816581136,0.00699474224486832,0.0033210718977225197,0.06179735657609799,0.06179735657609799,-0.6206949790876746,0.01798932810552355,0.0038914912247512597,0.06179735657609799,0.06179735657609799,-0.16209599059687846,0.011520085265287059,0.0260122751726654,0.0,0.061797356576098,0.0,0.061797356576098
cmc-nominal,0.050256560926811335,-0.0082720812246112,-0.0102963493896821,-0.0007739027152619,0.0004824948567746,0.0306472669197438,0.0122875952976702,0.0488002459017455,0.01396343166324868,0.00017637302402337963,0.00150915159909075,-0.00581764306151496,0.00680827805178459,0.0,0.0,0.0,0.01407659930759555,0.013566503994073447,-0.00658218849506263,-0.0003119093635711551,-0.0058966463608508,0.0030234972244488497,-0.00383749086011044,-0.009629588857847909,-0.0062438566127942605,0.00884800395410901,0.00227433488091412,-0.0033780548838802703,0.00907986371183778,0.00338902083373692,-0.00591696349207639,-0.00522064111062465,-0.00016903233430799988,-0.0027969585074753,-0.007381862658308,0.016202937128001,0.0037162107868574,-0.0071393115869561
Average ADJ_AVERAGE_PRECISION,0.011±0.04,0.111±0.2,0.189±0.26,0.004±0.03,0.082±0.19,0.163±0.19,0.122±0.24,0.003±0.02,0.108±0.17,0.121±0.16,0.116±0.19,0.006±0.03,0.098±0.17,0.08±0.14,0.093±0.16,0.086±0.15,0.002±0.0,0.095±0.11,0.164±0.21,0.198±0.28,0.2±0.29,-0.051±0.23,0.201±0.27,0.167±0.23,0.189±0.27,0.186±0.23,-0.014±0.26,0.153±0.19,0.076±0.12,0.063±0.09,0.091±0.14,0.019±0.09,0.068±0.11,0.022±0.03,0.011±0.02,0.016±0.02,0.005±0.01,0.014±0.03
Average Rank,23.625±18.48,19.625±11.8,13.125±14.88,26.875±16.04,19.875±13.48,15.125±13.24,18.875±12.94,28.0±13.38,13.875±10.03,12.625±5.5,12.75±7.52,31.625±3.46,15.875±10.12,20.25±4.74,20.0±5.58,20.625±5.24,25.625±10.65,13.75±9.79,13.875±9.42,11.75±11.29,14.75±14.3,24.375±6.78,13.375±11.31,12.875±11.53,11.375±9.13,10.375±8.77,22.75±7.72,15.375±10.24,18.375±7.46,19.5±8.65,21.375±8.65,26.125±5.06,20.875±5.19,23.375±6.61,27.375±7.27,20.75±12.58,25.75±8.75,24.5±11.4
