Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,0.014072278171494836,0.9894939699117244,0.9350242446848192,0.05239960213850549,0.8387293298520453,0.9757304488374985,0.9792117369140868,0.4017841601392515,0.644531891085416,0.6862762650752207,0.6896605744125326,0.6709847071988064,0.5,0.5,0.5,0.5,0.5,0.5,0.940579385801318,0.9605246798458286,0.9366181772970285,0.9365821210990924,0.5,0.9026861867462389,0.8764602760164117,0.9268780305856024,0.9619551162501554,0.5,0.8129373368146214,0.5814957105557628,0.6611345269178167,0.7780405321397488,0.5,0.4950205147333084,0.46661071739400717,0.46904761904761905,0.45969165734178785,0.5
anneal,0.21662946428571425,0.7723484848484848,0.7734949945887446,0.2209178841991341,0.5177015692640692,0.6910376082251082,0.6290516774891775,0.4399925595238095,0.5857683982683983,0.6559046942640693,0.6193012716450217,0.3184821428571428,0.3850897366522366,0.76456608495671,0.7718658685064935,0.7601278409090909,0.5,0.7708198051948052,0.8262462797619048,0.8745884063852815,0.8437121212121212,0.8840476190476191,0.8260980339105338,0.8363815611471861,0.8833597132034632,0.8505867830086581,0.859631020021645,0.7946079094516595,0.6383772997835497,0.6515070346320345,0.7036833739177488,0.6646005817099566,0.5947815205627706,0.4771780303030303,0.4710464015151515,0.47559862012987014,0.4683745941558441,0.4996843434343434
australian,0.1690856499257666,0.7600522193211489,0.7848180003071724,0.15653509445553676,0.5438565504530795,0.6458224543080939,0.7517048072492705,0.1948279834126862,0.5772124097680847,0.586743971740132,0.698514821072032,0.5822323759791123,0.6439589412788613,0.7937551835355552,0.771224082322224,0.8052342190139764,0.5,0.7625198382224952,0.7592762248502534,0.8196736292428198,0.7944609123022578,0.7220162033481801,0.8665361183637946,0.7930187375211182,0.7944781907541085,0.8198982491168791,0.6736108124712026,0.8229534633696821,0.706717478113961,0.5449251267086469,0.6009307326063584,0.6122753801259407,0.44570214508780015,0.5235447703885732,0.5272500383965597,0.5177468898786668,0.5268123176163415,0.5221292172221369
crx,0.1779003267973856,0.7627275910364146,0.7961484593837536,0.14858193277310922,0.5042016806722689,0.6430234593837535,0.7360731792717087,0.5323310574229693,0.5109751400560224,0.5833114495798319,0.5566193977591036,0.6477048319327732,0.6752188375350141,0.717360819327731,0.7461195728291317,0.7314644607843137,0.5,0.7356384220354808,0.695295430672269,0.7931967787114845,0.7481801470588235,0.790498949579832,0.8036414565826331,0.6939806547619048,0.7462403711484593,0.7655834208683473,0.7621397934173669,0.7536429154995331,0.6358661589635854,0.5427153361344538,0.5875989145658264,0.6883504026610645,0.4803396358543417,0.46207983193277313,0.4807510504201681,0.4908350840336134,0.44463848039215687,0.47306839402427636
german,0.4099295238095238,0.6036285714285714,0.5695714285714286,0.4067614285714286,0.5956885714285713,0.5191628571428571,0.55952,0.3686342857142857,0.5789605714285715,0.47622485714285717,0.5208527142857142,0.49599171428571426,0.5031419047619047,0.6075768571428571,0.5838708571428571,0.6124758571428571,0.5,0.6303114285714285,0.5652022857142857,0.5744522857142857,0.5812768571428572,0.5107437142857143,0.619232380952381,0.6013465714285714,0.5891948571428571,0.5954674285714286,0.5393511428571428,0.6087904761904762,0.5671231428571428,0.5393454285714285,0.5816727142857142,0.5556228571428572,0.6008023809523809,0.5037114285714286,0.5086114285714285,0.49321000000000004,0.49939857142857147,0.4853571428571428
heart,0.1744102564102564,0.7517948717948718,0.768974358974359,0.18484615384615383,0.3638974358974359,0.796974358974359,0.6834358974358975,0.33128205128205124,0.689523076923077,0.7146205128205128,0.6872615384615385,0.5032153846153846,0.6775555555555556,0.658017094017094,0.6453717948717949,0.6539188034188034,0.5,0.7866381766381766,0.7791461538461539,0.7458820512820513,0.7967025641025641,0.6738461538461539,0.8428376068376069,0.7567467948717949,0.7373461538461539,0.7873589743589744,0.6693365384615385,0.8249252136752138,0.5778173076923077,0.5486410256410256,0.5425641025641026,0.5971570512820513,0.5156196581196582,0.5284102564102564,0.5194871794871795,0.5274358974358975,0.5016153846153847,0.5343589743589744
scenario-1-4-rcat-0-icat,0.0014645519069114335,0.9990993723950872,0.9990892859787578,0.5,0.9969901622968224,0.5,0.998765307732732,1.0405606719647112e-05,0.7305972556520958,0.6374646081695376,0.6511807331318094,0.5634629942152487,0.5477708573045316,0.5,0.5,0.5,0.5,0.5,0.9999742924059755,0.9999198832120666,1.0,0.9821145942017662,0.999996393148591,0.9999984040480492,0.999962159979245,0.9999984040480492,0.9991310711927353,0.9999984040480492,0.7930378766638119,0.6653908977880872,0.8684793042058058,0.8205823124347894,0.8407467535783797,0.5,0.5,0.5,0.4718345761330365,0.4713310852115773
scenario-1-5-rcat-0-icat,0.0010972063265407333,0.9994135195770956,0.9993561291449424,0.5,0.9985014011181368,0.5,0.99928865229646,4.468665462425133e-07,0.7259508841318455,0.5498853404280419,0.6018373971377049,0.5821294684739482,0.45611616985320824,0.5,0.5,0.5,0.5,0.5,0.9999922436735188,0.9999736540251952,1.0,0.9838396778168808,1.0086416329474294e-06,0.9999984040480492,0.9999683107780637,0.9999984040480492,0.9991320319558099,1.59595195086611e-06,0.8253888249656935,0.63921756987333,0.8526281689860318,0.807897051140429,0.18069737610178138,0.5,0.5,0.5,0.4710873195106019,0.5138195713758229
scenario-1-6-rcat-0-icat,0.0005663714283233333,0.9996919174354048,0.999628015519292,0.5,0.9993708119028906,0.5,0.9996116729713154,0.0,0.7254891560810366,0.5909126144808253,0.5886091419191973,0.595823499077412,0.4790478863467714,0.5,0.5,0.5,0.5,0.5,0.9999999170104985,0.999998346593779,1.0,0.9816936012285511,3.83028468207885e-08,1.0,0.9999974783959177,1.0,0.999249184404715,0.0,0.8411719726323605,0.6280198730490445,0.8595329465767214,0.8018628493794173,0.2021118146918485,0.5,0.5,0.5,0.4688861506609283,0.5170280412588052
scenario-1-7-rcat-0-icat,0.0005103215958089,0.9997661611201591,0.9996516356081648,0.5,0.9998328080736272,0.5,0.9997166227716042,0.0,0.7418246244150517,0.6204525551573762,0.6470609108468045,0.6013286363829039,0.44538598800150553,0.5,0.5,0.5,0.5,0.5,0.9999960867258165,0.9999995850524928,1.0,0.9838613763796047,0.0,1.0,0.9999999936161922,1.0,0.9993460937990755,0.0,0.8606156212287654,0.615267278541877,0.8425767869937832,0.8003564909791688,0.22219020529815187,0.5,0.5,0.5,0.4627410334312354,0.519327361153457
