Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,0.1153002546619567,0.6072208987102604,0.8862893288425203,0.1139489033106054,0.4426764150168406,0.7474739176866837,0.8313398504887868,0.2446069169473425,0.5322829212190914,0.5758334017908486,0.5844068840877352,0.43494290643226813,0.46515320791916537,0.5,0.5,0.5,0.5,0.8753750102686272,0.8701786741148443,0.8838766121744845,0.8980292450505216,0.7077811550151976,0.8703154522303459,0.858143842931077,0.857082066869301,0.9071794134560092,0.7315595991127906,0.8779429885812865,0.699034749034749,0.6762852213916044,0.7863887291546866,0.7463644951942825,0.733648237903557,0.6348517210219337,0.5554423724636491,0.6291218269941673,0.5442002793066623,0.5581491826172678
thyroid_disease_variant1ori,0.6434496519767133,0.3981148329586397,0.37798801798529363,0.6411072441857041,0.5341592955105486,0.43254140446294453,0.3366720334573585,0.5075866867594074,0.5068023090289708,0.49851280175926016,0.49534878412738925,0.3793918673486417,0.4892122598442976,0.5,0.5,0.5,0.5,0.41670589496143434,0.4236730937257635,0.3786036363279371,0.37700179656590843,0.4307024523615515,0.38019224727815354,0.44950131797253123,0.45410625754704936,0.4327005551683176,0.4190328241427042,0.3664063854991933,0.4817816067974985,0.48682615279645786,0.4827374927597412,0.458681070282051,0.4578287650163785,0.5,0.5,0.5,0.4995889005605678,0.5
ecoli,0.16389172046664396,0.6527353041114509,0.8418280665987088,0.1036357458375806,0.6170574243968739,0.8311247026843357,0.6816173972137275,0.1211348963642541,0.8407747196738022,0.8530411145090044,0.8351002378525314,0.4177709819911654,0.8512742099898063,0.816785592932382,0.816785592932382,0.816785592932382,0.5,0.8177370030581039,0.8647298674821611,0.8643900781515461,0.8751274209989806,0.627353041114509,0.8686034658511723,0.8527522935779815,0.8527522935779815,0.8527522935779815,0.780224260958206,0.8516479782534828,0.6707951070336391,0.6703873598369011,0.6627760788311247,0.6874787631668365,0.73144750254842,0.5305810397553516,0.4836901121304791,0.4610941216445803,0.5276928304451239,0.5265035677879714
heart,0.1744102564102564,0.7517948717948718,0.768974358974359,0.18484615384615383,0.3638974358974359,0.796974358974359,0.6834358974358975,0.33128205128205124,0.689523076923077,0.7146205128205128,0.6872615384615385,0.5032153846153846,0.6775555555555556,0.658017094017094,0.6453717948717949,0.6539188034188034,0.5,0.7866381766381766,0.7791461538461539,0.7458820512820513,0.7967025641025641,0.6738461538461539,0.8428376068376069,0.7567467948717949,0.7373461538461539,0.7873589743589744,0.6693365384615385,0.8249252136752138,0.5778173076923077,0.5486410256410256,0.5425641025641026,0.5971570512820513,0.5156196581196582,0.5284102564102564,0.5194871794871795,0.5274358974358975,0.5016153846153847,0.5343589743589744
hepatitis,0.19568822553897178,0.8557213930348258,0.8457711442786069,0.1840796019900497,0.3681592039800995,0.900497512437811,0.8208955223880597,0.1641791044776119,0.6054726368159205,0.6805970149253732,0.635323383084577,0.39701492537313426,0.6636815920398009,0.6069651741293532,0.7213930348258706,0.5671641791044776,0.5,0.6268656716417911,0.8393034825870647,0.8074626865671641,0.7850746268656716,0.6169154228855722,0.817910447761194,0.7446102819237147,0.7636815920398009,0.7636815920398009,0.7354892205638475,0.7437810945273632,0.36152570480928686,0.4121061359867329,0.3333333333333333,0.43864013266998336,0.4079601990049751,0.7835820895522387,0.6965174129353233,0.7985074626865671,0.5223880597014925,0.7388059701492538
lymphography,0.0093896713615023,0.9906103286384976,0.9976525821596244,0.0023474178403755,0.982394366197183,0.9741784037558686,0.9929577464788732,0.0704225352112675,0.721830985915493,0.8306338028169014,0.5868544600938967,0.6356807511737089,0.6343896713615024,0.9626760563380282,0.9730046948356808,0.9269953051643192,0.5,0.9190140845070423,0.9789906103286385,0.998943661971831,0.9967136150234742,0.8009389671361502,0.9954225352112676,0.9896042924211939,0.9954728370221329,0.9786217303822937,0.8419684775318578,0.9462608987256874,0.8127095908786048,0.723943661971831,0.9276492287055668,0.6784875922199866,0.857645875251509,0.4154929577464788,0.5985915492957746,0.4342723004694835,0.5522300469483568,0.3028169014084507
nursery,0.5,0.5,0.5,0.5,0.7342992874109263,0.3231833777201948,0.0489289570287195,0.6836787111015139,0.49142743347969003,0.5,0.5352525732383215,0.5035236929868758,0.4430444948295304,0.5594358819789342,0.5,0.40489201696297894,0.5,0.3995556515271479,0.5434707406607644,0.5,0.46818028263633965,0.5215268600494254,0.6135190863504403,0.5517973439861801,0.5,0.5,0.5260347777057991,0.5865002039396339,0.5548314019050361,0.5,0.5,0.5286158437102617,0.5841675184145493,0.5050581827778978,0.5,0.5,0.5,0.5
cmc-nominal,0.6447426115934403,0.4220928702972902,0.3736845566956064,0.4830636674559326,0.5023349118652987,0.5857340173638517,0.447744014732965,0.6086227308602999,0.5329518547750591,0.40914890818205735,0.45908313601683765,0.4036700868192581,0.49113391212838725,0.5,0.5,0.5,0.5540449881610103,0.43556300973428047,0.3654893449092344,0.3701197053406998,0.3485201262825572,0.35265061825835303,0.35107208629308073,0.34996053670086813,0.3829354117337543,0.436473954222573,0.43661536437779536,0.3484379110760326,0.34820113128124175,0.42725927387529594,0.4084254143646408,0.45083530649828996,0.40659037095501177,0.5167719021310182,0.4604051565377532,0.5276243093922652,0.4959550118389896,0.4830965535385425
Average AUC,0.306±0.25,0.647±0.21,0.699±0.24,0.277±0.23,0.568±0.21,0.699±0.23,0.605±0.31,0.341±0.23,0.615±0.12,0.633±0.16,0.602±0.12,0.459±0.09,0.589±0.14,0.638±0.17,0.645±0.18,0.609±0.18,0.507±0.02,0.66±0.22,0.708±0.23,0.694±0.24,0.693±0.26,0.591±0.15,0.717±0.24,0.694±0.22,0.693±0.22,0.707±0.22,0.643±0.16,0.693±0.23,0.563±0.16,0.556±0.12,0.58±0.2,0.573±0.12,0.587±0.17,0.552±0.11,0.539±0.08,0.547±0.12,0.518±0.02,0.518±0.12
Average Rank,25.25±16.61,17.25±10.18,13.5±12.71,27.625±14.39,18.875±14.92,13.625±12.47,19.375±12.92,23.875±17.59,18.25±10.58,17.25±6.52,18.125±6.33,29.625±6.59,21.5±9.09,15.5±8.45,16.0±7.21,19.875±9.89,22.625±12.2,19.375±10.57,12.625±11.03,13.5±12.64,15.5±16.34,22.625±6.46,11.25±13.58,14.0±10.2,13.875±8.48,12.0±8.23,18.875±4.91,15.375±14.11,23.25±9.54,22.375±4.5,21.875±7.47,20.375±5.95,21.25±8.73,18.5±10.85,21.75±9.21,19.125±11.91,23.75±8.38,21.125±9.88
