Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0355462539974583,0.06607443468736582,0.04853238961408171,0.0530276811032049,0.04142947565802805,0.037232299229450885,0.07382306809396982,0.03217416353347323,-0.011358089424461744,0.004784896839296585,0.021390648709282672,-0.027124406008732407,0.0,0.12357745102058511,0.11326859663460606,0.055054156064640127,-0.032693736269729046,0.0,0.046799709088438314,0.019883969991331865,0.015299361892424496,-0.011605615213839364,0.0,0.02232694191258065,0.07375132148835312,-0.014543638713843407,-0.018547099307255458,0.0,0.06514890347491034,0.036694199687325596,0.05214841853716359,-0.005664996268776324,0.0,-0.0176538540673275,-0.00721472295009711,-0.008183302125922599,0.0008567701817820201,0.0
census-income-full-nominal,0.1224876440647757,-0.0478681270874583,-0.0495836937657286,-0.0521570437831339,-0.0878408306911548,0.0,-0.0504414771048637,0.006686893281535,-0.045037442068312464,-0.02592602927238207,-0.01890936155825683,0.00772671700156201,-0.027467865293165163,0.0,0.0,0.0,-0.006227233180884329,0.0,-0.04200088904777413,-0.059053621829780245,-0.05711503148333489,-0.00489012247544109,0.0014045833071072147,-0.04004514303454604,-0.05095614710834475,-0.04776519308676213,0.00204913923691062,-0.001859338209769683,-0.03141584264284679,0.00771623328849716,0.01162772531495326,-0.00830489750780385,0.05017141067691501,-0.0051505167985295,0.0027410899215135,-0.0024056101132972,0.00011547144750036,0.0
chess_krkopt_zerovsall,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.011394283433956634,0.0,-0.0009632880231189,0.0,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0175730691624944,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.017573069162494397,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.0296495956873315,0.5817654954642726,0.0296495956873315,-0.1320754716981132,-0.1320754716981132,0.01347708894878703,-0.051212938005390854,-0.06738544474393532,-0.06346483704974265,-0.04645103324348603,0.0,0.0,0.0,-0.1320754716981132,0.0,-0.051212938005390854,0.029649595687331505,0.029649595687331505,-0.0487625581965204,0.053009883198562445,-0.07816711590296498,-0.024258760107816735,-0.1320754716981132,-0.059416383452478565,-0.006688629330138745,-0.1320754716981132,-0.1320754716981132,-0.1320754716981132,-0.037071760615649006,-0.006688629330138745,-0.1320754716981132,0.0,-0.1320754716981132,-0.03406027934329817,-0.0754716981132075
solar-flare_FvsAll-cleaned,0.00719101123595506,0.007191011235955061,0.0071910112359550695,0.0064086558468581,0.042397003745318365,0.14097378277153558,0.07760299625468163,-0.056179775280898805,-0.028522039757994798,0.04788245462402764,0.06845289541918753,-0.06966292134831455,-0.01676750216076055,0.006741573033707887,0.08020743301642178,0.0,0.0,0.0,0.00968020743301639,0.02143474503025064,-0.010890233362143462,0.0772687986171132,0.00674157303370785,0.02143474503025063,0.08902333621434741,0.01261884183232496,0.06551426101987898,0.06551426101987896,-0.037337942955920474,0.0008643042350907487,0.009680207433016398,0.02731201382886775,-0.04321521175453757,-0.0579083837510803,-0.0285220397579948,0.0302506482281763,0.0008643042350907,0.0
lymphography,-0.0422535211267605,0.6525821596244131,0.8262910798122066,-0.0422535211267605,0.6525821596244131,0.6525821596244131,0.6525821596244131,-0.0422535211267605,0.18356807511737086,0.2356807511737089,0.09671361502347423,0.13145539906103282,0.09671361502347416,0.2704225352112676,0.4788732394366197,0.5483568075117371,0.0,0.2704225352112676,0.5309859154929577,0.895774647887324,0.895774647887324,0.1314553990610328,0.8262910798122066,0.7518443997317237,0.8262910798122066,0.6525821596244131,0.3051643192488263,0.6525821596244131,0.2307176391683434,0.21830985915492956,0.37961099932930914,0.2307176391683434,0.3299798792756539,0.1314553990610328,0.1314553990610328,-0.0422535211267605,-0.0422535211267605,-0.0422535211267605
nursery,0.10446987691643268,0.1044698769164327,0.1044698769164327,0.1044698769164327,0.1044698769164327,-0.0261282660332541,-0.0261282660332541,0.0671561217879507,-0.01244655581947737,0.1044698769164327,0.0077650615417836286,0.017093500323902888,-0.018043619088749702,-0.0008637443316778249,0.0,-0.009803498164543251,0.0,-0.0261282660332541,0.0012351543942992894,0.1044698769164327,-0.009958972144245262,0.07803930036709074,-0.015245087454113532,-0.00467285683437699,0.1044698769164327,0.1044698769164327,0.08425825955517105,0.029842366659468787,-0.01182465990066934,0.1044698769164327,0.1044698769164327,0.019581083999135544,-0.0065385445908010915,0.073375080976031,0.0,0.1044698769164327,0.0,0.1044698769164327
cmc-nominal,0.0611023414890818,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,0.0986582478295185,0.023546435148645,0.008524072612470379,-0.0064982899237043005,-0.04780978689818463,0.0010128913443830396,0.0,0.0,0.0,0.00852407261247036,0.03856879768481969,-0.0140094711917916,-0.0027426992896606205,0.016035253880557678,-0.0140094711917916,0.038568797684819724,0.0010128913443830396,0.023546435148645,0.034813207050776104,-0.0140094711917916,0.03105761641673238,0.03481320705077609,0.019790844514601343,-0.014009471191791611,-0.04405419626414096,0.0010128913443830298,-0.0140094711917916,-0.0515653775322283,-0.0140094711917916,-0.0140094711917916,-0.0515653775322283
Average ADJ_R_PRECISION,0.04±0.05,0.079±0.24,0.119±0.29,0.011±0.05,0.165±0.29,0.102±0.23,0.073±0.24,-0.003±0.07,0.015±0.07,0.04±0.09,0.013±0.05,-0.007±0.06,-0.001±0.04,0.05±0.1,0.085±0.16,0.074±0.19,-0.02±0.05,0.035±0.1,0.06±0.19,0.126±0.31,0.11±0.32,0.026±0.06,0.114±0.29,0.084±0.27,0.132±0.29,0.076±0.24,0.046±0.11,0.096±0.23,0.015±0.1,0.034±0.1,0.051±0.15,0.023±0.09,0.04±0.12,-0.003±0.08,0.006±0.05,-0.008±0.07,-0.011±0.02,-0.008±0.05
Average Rank,12.0±10.76,15.125±11.59,12.25±10.79,16.75±13.21,12.25±12.37,12.75±11.3,17.625±13.88,18.125±13.25,21.875±11.76,14.625±8.5,19.0±8.52,24.125±13.2,23.25±9.42,14.125±8.41,10.5±7.6,14.75±9.1,23.625±10.06,16.625±11.36,17.875±6.92,12.625±12.44,17.375±13.74,18.625±9.47,12.875±11.92,17.625±9.09,8.75±11.51,16.0±13.08,17.0±10.18,12.75±6.3,20.25±12.08,13.625±10.91,14.375±11.93,20.625±8.83,18.0±10.86,24.125±9.98,21.75±12.13,19.0±11.84,20.0±8.32,20.25±13.36
