Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.0296495956873315,0.5817654954642726,0.0296495956873315,-0.1320754716981132,-0.1320754716981132,0.0296495956873315,0.1913746630727762,0.0296495956873315,-0.0566037735849056,0.2955974842767295,0.0,0.0,0.0,-0.1320754716981132,0.0,0.0296495956873315,0.0296495956873315,0.0296495956873315,0.0296495956873315,0.2955974842767295,0.0296495956873315,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.2955974842767295,-0.1320754716981132,-0.1320754716981132,-0.1320754716981132,0.2955974842767295,0.2955974842767295,-0.1320754716981132,0.0,-0.1320754716981132,0.1913746630727762,-0.0566037735849056
solar-flare_FvsAll-cleaned,0.0846441947565543,0.0846441947565543,0.0846441947565543,0.0846441947565543,0.1550561797752809,0.2254681647940075,0.1550561797752809,-0.0561797752808988,0.0008643042350907,0.1477960242005185,0.1477960242005185,-0.0579083837510803,0.1771823681936041,0.4122731201382886,0.1771823681936041,0.0,0.0,0.0,0.0302506482281763,0.0890233362143474,0.0302506482281763,0.0890233362143474,0.0596369922212619,0.0596369922212619,0.1477960242005185,0.0596369922212619,0.0890233362143474,0.1477960242005185,0.0596369922212619,0.118409680207433,0.0890233362143474,0.118409680207433,0.0302506482281763,-0.0579083837510803,-0.0285220397579948,0.0302506482281763,0.0008643042350907,0.0
bands_band_16_variant1ori,-0.0512820512820512,0.2772435897435897,0.2772435897435897,-0.0512820512820512,0.0144230769230769,0.0144230769230769,0.1458333333333333,0.0144230769230769,0.1458333333333333,0.2115384615384615,0.2115384615384615,0.0801282051282051,0.0801282051282051,0.0,0.0,0.0,0.0,0.0144230769230769,0.1458333333333333,0.2772435897435897,0.2115384615384615,0.2115384615384615,0.1458333333333333,0.4086538461538462,0.1458333333333333,0.4743589743589744,0.3429487179487179,0.0144230769230769,0.4086538461538462,0.1458333333333333,0.2772435897435897,0.2772435897435897,0.0144230769230769,0.0801282051282051,-0.0512820512820512,-0.0512820512820512,0.0144230769230769,-0.0512820512820512
creditA_plus_42_variant1ori,-0.0548302872062663,0.7990799452940445,0.6483899042645779,-0.0046002735297774,0.5479298769116001,0.7990799452940445,0.7488499316175555,-0.0046002735297774,0.2967798085291558,0.3972398358821335,0.5479298769116001,0.2465497948526669,0.0,0.0,0.0,0.0,0.0,0.0,0.5479298769116001,0.7488499316175555,0.6483899042645779,0.4976998632351113,0.0,0.4474698495586224,0.3972398358821335,0.6986199179410668,0.598159890588089,0.0,0.2967798085291558,0.1460897674996892,0.196319781176178,0.4976998632351113,0.0,0.0958597538232003,0.0456297401467114,0.0958597538232003,0.0456297401467114,0.0
sick_sick_35_variant1ori,-0.0100632547441058,-0.0100632547441058,0.0476546455269859,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,0.1053725457980777,0.1342314959336235,0.1630904460691694,-0.0100632547441058,0.1053725457980777,0.0,0.0,0.0,0.0,0.1342314959336235,0.0765135956625318,0.0765135956625318,0.1053725457980777,0.01879569539144,0.1053725457980777,0.1342314959336235,0.1053725457980777,0.1342314959336235,0.01879569539144,0.1053725457980777,0.01879569539144,0.01879569539144,0.0765135956625318,0.0765135956625318,0.1053725457980777,0.0476546455269859,0.01879569539144,0.01879569539144,0.01879569539144,0.01879569539144
thyroid_disease_variant1ori,0.1456003769843218,-0.0252795476188138,-0.0537595350526698,0.1456003769843218,0.2025603518520336,-0.0537595350526698,-0.0537595350526698,-0.0181595507603498,0.1812003612766417,0.2096803487104976,0.1883203581351057,-0.0181595507603498,0.1740803644181777,0.0,0.0,0.0,0.0,0.3734402764551693,0.1171203895504658,-0.0039195570434219,-0.0181595507603498,-0.0110395539018859,-0.0323995444772778,0.2025603518520336,0.2025603518520336,0.010320436673506,0.010320436673506,-0.0110395539018859,0.1171203895504658,0.1171203895504658,0.0459204209658259,0.024560430390434,0.031680427248898,0.0,0.0,0.0,-0.0110395539018859,0.0
anneal,-0.0154220779220779,0.1350108225108225,0.1726190476190476,-0.053030303030303,0.0597943722943722,0.0221861471861471,-0.0154220779220779,-0.053030303030303,0.2102272727272727,0.7367424242424242,0.7367424242424242,0.1350108225108225,0.1350108225108225,0.4358766233766233,0.5110930735930735,0.323051948051948,0.0,0.2102272727272727,0.3606601731601731,0.661525974025974,0.5110930735930735,0.3982683982683982,0.3982683982683982,0.4734848484848484,0.7743506493506493,0.4734848484848484,0.3982683982683982,0.323051948051948,0.1350108225108225,0.623917748917749,0.323051948051948,0.1726190476190476,0.1350108225108225,0.0221861471861471,-0.0154220779220779,0.0221861471861471,0.0597943722943722,-0.0154220779220779
australian,-0.056750115189679,0.3275226539702042,0.4556135770234987,-0.056750115189679,0.1994317309169098,0.2954999232068807,0.3275226539702042,-0.0247273844263554,0.1674090001535862,0.3275226539702042,0.3915681154968515,0.1994317309169098,0.4876363077868223,0.3595453847335279,0.3595453847335279,0.4876363077868223,0.0,0.2634771924435571,0.4235908462601751,0.3595453847335279,0.3915681154968515,0.3275226539702042,0.5516817693134695,0.3915681154968515,0.3915681154968515,0.4876363077868223,0.2634771924435571,0.3595453847335279,0.2634771924435571,0.1353862693902626,0.2314544616802334,0.1674090001535862,0.0072953463369682,0.0713408078636154,0.0713408078636154,0.0713408078636154,0.103363538626939,0.0072953463369682
crx,-0.0555847338935574,0.4211309523809524,0.4211309523809524,-0.0555847338935574,0.1827731092436975,0.3189775910364146,0.2849264705882353,0.1827731092436975,0.1487219887955182,0.3189775910364146,0.2849264705882353,0.2508753501400561,0.3870798319327731,0.2168242296918767,0.2168242296918767,0.2508753501400561,0.0,0.1827731092436975,0.2508753501400561,0.2508753501400561,0.2508753501400561,0.4211309523809524,0.3189775910364146,0.2508753501400561,0.2508753501400561,0.2508753501400561,0.3530287114845938,0.1827731092436975,0.2168242296918767,0.1146708683473389,0.1827731092436975,0.2849264705882353,0.0465686274509804,0.1487219887955182,0.1487219887955182,0.1487219887955182,-0.0215336134453781,0.0465686274509804
ecoli,-0.0275229357798165,0.0866462793068297,0.4291539245667686,-0.0275229357798165,-0.0275229357798165,0.200815494393476,-0.0275229357798165,-0.0275229357798165,0.7716615698267074,0.7716615698267074,0.7716615698267074,0.0866462793068297,0.7716615698267074,0.3149847094801223,0.3149847094801223,0.3149847094801223,0.0,0.3149847094801223,0.6574923547400611,0.6574923547400611,0.6574923547400611,0.200815494393476,0.5433231396534149,0.7716615698267074,0.7716615698267074,0.7716615698267074,0.200815494393476,0.7716615698267074,0.7716615698267074,0.6574923547400611,0.6574923547400611,0.200815494393476,0.3149847094801223,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165
german,-0.0499999999999999,0.1857142857142857,0.0785714285714285,-0.0071428571428571,0.1214285714285714,0.0571428571428571,0.1214285714285714,-0.0285714285714285,0.2071428571428571,0.1214285714285714,0.1428571428571428,0.1214285714285714,0.1214285714285714,0.1642857142857142,0.1214285714285714,0.1642857142857142,0.0,0.1214285714285714,0.1214285714285714,0.1428571428571428,0.1428571428571428,0.0571428571428571,0.1214285714285714,0.1214285714285714,0.0785714285714285,0.1428571428571428,0.1214285714285714,0.1,0.1214285714285714,0.0785714285714285,0.1428571428571428,0.1642857142857142,0.0785714285714285,0.0785714285714285,0.1,0.0357142857142857,0.0785714285714285,0.0357142857142857
heart,-0.003076923076923,0.3312820512820513,0.4148717948717949,-0.003076923076923,0.0805128205128205,0.5820512820512821,0.2476923076923077,-0.003076923076923,0.4148717948717949,0.4148717948717949,0.4148717948717949,0.2476923076923077,0.3312820512820513,0.3312820512820513,0.2476923076923077,0.4148717948717949,0.0,0.3312820512820513,0.4148717948717949,0.3312820512820513,0.4148717948717949,0.2476923076923077,0.4148717948717949,0.4148717948717949,0.2476923076923077,0.4984615384615384,0.2476923076923077,0.4148717948717949,0.1641025641025641,0.2476923076923077,0.1641025641025641,0.1641025641025641,0.1641025641025641,0.0805128205128205,0.1641025641025641,0.0805128205128205,0.0805128205128205,0.0805128205128205
hepatitis,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,0.6517412935323383,0.3034825870646765,0.3034825870646765,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.0,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985
lymphography,-0.0422535211267605,0.6525821596244131,0.8262910798122066,-0.0422535211267605,0.6525821596244131,0.6525821596244131,0.6525821596244131,-0.0422535211267605,0.4788732394366197,0.4788732394366197,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.6525821596244131,0.8262910798122066,0.0,0.4788732394366197,0.6525821596244131,1.0,1.0,0.1314553990610328,0.8262910798122066,0.8262910798122066,1.0,0.8262910798122066,0.3051643192488263,0.6525821596244131,0.4788732394366197,0.3051643192488263,0.4788732394366197,0.4788732394366197,0.4788732394366197,0.1314553990610328,0.1314553990610328,-0.0422535211267605,-0.0422535211267605,-0.0422535211267605
ad_nominal,-0.1197005516154452,0.3084202475316367,-0.0576776165011459,0.0170954433782969,-0.1155155155155155,0.2729546191999258,0.3924424424424423,-0.1088755422088755,-0.0373376623376623,0.0643621084797555,0.1253819709702062,0.2982872108654336,0.0,0.0,0.0,0.0,0.0,0.0,-0.098357524828113,0.1050420168067226,0.1457219251336898,0.1817572892040977,0.0,-0.1593773873185638,-0.1390374331550802,0.0440221543162719,0.2602883233671719,0.0,0.0440221543162719,0.0643621084797555,0.0847020626432391,0.1614912158716915,0.0,-0.1593773873185638,-0.1186974789915966,-0.098357524828113,0.0,0.0
AID362red_train_allpossiblenominal,0.0161460064251689,-0.0039326465049296,-0.0039326465049296,-0.0240112994350282,-0.0039326465049296,-0.0240112994350282,0.0161460064251689,-0.0240112994350282,0.0362246593552675,0.0161460064251689,0.0161460064251689,0.0161460064251689,0.0763819652154647,0.0,0.0,0.0,0.0362246593552675,0.0362246593552675,0.0161460064251689,0.0362246593552675,0.0161460064251689,-0.0240112994350282,0.0362246593552675,0.0161460064251689,0.0161460064251689,0.0362246593552675,-0.0240112994350282,0.0362246593552675,0.0563033122853661,0.0563033122853661,0.0563033122853661,0.0763819652154647,0.0763819652154647,-0.0039326465049296,-0.0039326465049296,-0.0039326465049296,0.0,-0.0240112994350282
apascal_entire_trainvsall,0.0037489850246163,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,0.0311687377303608,0.0585884904361053,0.0585884904361053,0.0311687377303608,-0.0053909325439651,0.0220288201617793,0.0,0.0,0.0,0.0037489850246163,-0.0145308501125466,-0.0145308501125466,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,0.0037489850246163,0.0220288201617793,-0.0145308501125466,-0.0145308501125466,-0.0145308501125466,0.0403086552989423,0.0494485728675238,0.1408477485533389,-0.0328106852497096,0.1408477485533389,-0.0053909325439651,0.0037489850246163,-0.0053909325439651,0.0,-0.0053909325439651
cmc-nominal,0.0611023414890818,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,0.0986582478295185,0.023546435148645,0.0986582478295185,0.023546435148645,-0.0140094711917916,0.023546435148645,0.0,0.0,0.0,0.023546435148645,0.1737700605103919,-0.0140094711917916,0.023546435148645,0.023546435148645,-0.0140094711917916,0.0611023414890818,0.023546435148645,0.023546435148645,0.0986582478295185,-0.0140094711917916,0.0611023414890818,0.0986582478295185,0.023546435148645,0.023546435148645,-0.0140094711917916,0.023546435148645,-0.0140094711917916,-0.0515653775322283,-0.0140094711917916,-0.0140094711917916,-0.0515653775322283
Reuters-corn-100,-0.2536944187887584,0.4679443198311123,0.4434819897084048,-0.1864230109513128,0.2416677661960681,0.4557131547697586,0.3578638342789286,-0.2353476711967277,0.4251352421163741,0.3762105818709592,0.3700949993402824,0.0826626203984694,0.2783612613801293,0.0,0.0,0.0,-0.0579957778070985,0.0,0.4434819897084048,0.4067884945243436,0.4373664071777279,0.2538989312574218,0.4190196595856973,0.4312508246470511,0.4740599023617891,0.4495975722390816,0.3028235915028368,0.4495975722390816,0.4190196595856973,0.4067884945243436,0.4251352421163741,0.3517482517482517,0.4251352421163741,-0.033533447684391,0.0153912125610238,0.0459691252144082,0.0,0.0459691252144082
Average ADJ_R_PRECISION,-0.023±0.08,0.219±0.25,0.217±0.27,-0.018±0.07,0.147±0.22,0.216±0.26,0.164±0.25,-0.026±0.08,0.227±0.23,0.283±0.21,0.274±0.22,0.098±0.13,0.214±0.2,0.131±0.17,0.135±0.2,0.144±0.23,-0.007±0.03,0.136±0.16,0.235±0.24,0.269±0.3,0.259±0.29,0.155±0.17,0.239±0.24,0.253±0.27,0.258±0.31,0.277±0.3,0.181±0.18,0.202±0.24,0.186±0.21,0.165±0.21,0.18±0.19,0.18±0.16,0.122±0.15,0.015±0.08,0.019±0.07,0.007±0.07,0.023±0.06,-0.004±0.04
Average Rank,26.053±12.33,15.211±11.95,15.105±10.62,27.737±10.35,19.474±10.5,16.421±12.79,17.737±10.76,28.316±10.73,12.263±9.75,7.737±5.73,8.0±5.66,20.789±8.31,10.579±8.58,17.684±8.2,17.526±7.74,17.105±9.52,25.368±10.05,16.316±9.11,12.842±7.53,10.842±6.97,11.0±8.18,17.947±9.26,12.0±9.72,9.842±8.32,10.421±8.92,8.947±8.31,15.526±7.88,12.842±9.0,13.842±8.25,15.842±8.55,13.526±7.61,14.158±8.51,16.632±10.19,26.0±6.98,26.158±7.57,26.053±6.11,24.0±7.56,27.474±7.35
