Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,-0.0254100383291575,0.8201232007106052,0.587524042741687,-0.0190627864919468,0.5918820809025445,0.8132922276090299,0.8204141303700985,0.0217377954009134,0.2635770312409364,0.3478346957990306,0.3863000843511917,0.2164547275980793,0.0,0.0,0.0,0.0,0.0,0.0,0.5325715509585623,0.7925565287333356,0.6472643134080497,0.4734264426078001,0.0,0.4105963952968042,0.3213345972256103,0.638623889788139,0.5762409080540456,0.0,0.2791785571040924,0.1440238687410349,0.1582537946838512,0.3857519483510023,0.0,0.0618078679031403,0.0747697040504757,0.0458441581560683,0.0361277178830337,0.0
anneal,-0.01606881583245,0.0932366581898899,0.1078885842848881,-0.0189376543314082,0.0502008345287894,0.0641071843192868,0.0171258737512674,0.0099744763409878,0.1361139117726527,0.6873221732754036,0.6248489242020742,0.05359221961002,0.0596794381496569,0.3224775264909718,0.3489605828576625,0.2621381378921582,0.0,0.1615432636793502,0.2476293010192158,0.5128719263624845,0.4826910568039318,0.3035264215830594,0.2371427501311583,0.3724522924042434,0.5576161213733313,0.3578492793889892,0.2940747025947406,0.2227066260820202,0.1210033592233176,0.4946969290833671,0.2523757144713734,0.091654253921005,0.0827793561259533,0.017449323286216,0.0135734049982485,0.0168393987191931,0.0247894753739745,0.0102298069395997
australian,-0.020533034144572,0.2907709717509028,0.3957021094006265,-0.0198773681388772,0.1248636542040018,0.1459980049044153,0.3012004156662659,-0.0280241975869689,0.130935310511376,0.2146517529372319,0.346059799961451,0.1476559775142662,0.4952821412269828,0.318030937428497,0.2501311408671575,0.4516920578301702,0.0,0.1899723785663632,0.3118738496375131,0.3383532459154743,0.3500570265112769,0.247098973727534,0.4687354284597513,0.3130368061147933,0.2538801974702447,0.4110532692865677,0.2049689724528103,0.3169237353251299,0.174877062170112,0.0841834209012335,0.0981043407581821,0.1567857038653181,0.0314683447127941,0.0496172130131429,0.0677819491326061,0.0313576713703308,0.06549826262707,0.0222641912251777
crx,-0.0266622366563774,0.3264162681007909,0.3525875380657424,-0.0303894727171807,0.1216346448948428,0.2294504992145901,0.2631377010834572,0.0896501624295178,0.066210046135311,0.2043966701735914,0.1638779118855376,0.2237676531096435,0.2947878852415088,0.1461870772781792,0.1873958918688862,0.2243204345407003,0.0,0.1531480193257099,0.1767366755294571,0.2455180530928161,0.2247266924651679,0.3224995469708411,0.2754352084545369,0.1458011672430329,0.1752304369878742,0.2514629248866095,0.2309546229713615,0.1682922736973613,0.1066109800333013,0.059308306996836,0.0985239755468678,0.1659990453002778,0.0577522207059759,0.0595810843139562,0.0592932114358125,0.106192680017299,0.01808845387272,0.036120358279926
german,-0.006175137694265,0.1093575029716879,0.0389993936308079,-0.0049452870526113,0.0831750540789169,0.0415238287692103,0.0642195893402896,-0.012558629522301,0.1121022841479791,0.0717013888349182,0.0731795953421586,0.0880887847385786,0.0527641661927212,0.0673802929325041,0.0474563532330769,0.0817973228379038,0.0,0.0662217883751019,0.0621074718446741,0.0553202195080289,0.0635493531289469,0.0280430661486271,0.0601063059207401,0.0633559801397996,0.0449324640182673,0.0630212824577513,0.0464523028092265,0.0499197649641283,0.0457563464102945,0.0393891219927371,0.0580907362758375,0.0748983746451289,0.048061532379692,0.0450100523262467,0.0303056219687198,0.0368327246907133,0.0248293367704447,0.0168652888768831
heart,-0.0136995592048621,0.2241627676630669,0.3675078143836174,-0.0080097190481903,0.0124650636324532,0.6295404287070953,0.2116842645406902,0.0136454875835923,0.2754424863834779,0.3720523514035435,0.3007807474216942,0.1799927382825764,0.2524751152033426,0.202830370867231,0.2191636748076612,0.3198371171989248,0.0,0.2596949440313951,0.3307013506691746,0.3061568054303473,0.4277330747402366,0.1632657858923583,0.3851496542144316,0.2816709794553192,0.214629670271557,0.4683689497462158,0.205510316415234,0.3272378083204522,0.1303981107764183,0.1700690487673246,0.1825184573208169,0.1263107567921751,0.1176465015807927,0.113622705462466,0.0813894622764855,0.0538844179243328,0.0383805078922018,0.0962835622250741
scenario-1-4-rcat-0-icat,-0.0240751413860769,0.991560587792745,0.9922969915081672,0.0,0.9443108796160692,0.0,0.98827291579373,-0.0240754931831718,0.7455956430369951,0.7286085615111514,0.8556449053003151,0.6392588757721172,0.5262730094127434,0.0,0.0,0.0,0.0,0.0,0.998759052654518,0.9982925658025482,0.998802525332226,0.89682755871704,0.9988011599107122,0.998802525332226,0.998802525332226,0.998802525332226,0.9902008980953576,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.98547224090854,0.998802525332226,0.0,0.0,0.0,-0.005004993029306,-0.0052571784222713
scenario-1-5-rcat-0-icat,-0.0240753079927737,0.9943648492708724,0.9947629234780602,0.0,0.9740563070850212,0.0,0.9932858279993309,-0.0240754942192235,0.7868599456433109,0.90529398740666,0.7338271693099216,0.5705491341879008,-0.4613483195516284,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.9987836474738554,0.998802525332226,0.9242243888113616,-2.213528855559249,0.998802525332226,0.998802525332226,0.998802525332226,0.9952523599581008,-2.2135173845525573,0.998802525332226,0.998802525332226,0.998802525332226,0.9855324893315848,0.2181248149878632,0.0,0.0,0.0,-0.0052189434796263,0.0532666445527202
scenario-1-6-rcat-0-icat,-0.0240754320694873,0.9969635139235709,0.9973463596065096,0.0,0.9910900462916932,0.0,0.9963871757831484,-0.0240754942454448,0.7510495093915931,0.6935730877811028,0.6660049276084004,0.5675793735692474,-0.5865155260097131,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.998802525332226,0.998802525332226,0.9155738896255154,-2.213537933916114,0.998802525332226,0.998802525332226,0.998802525332226,0.996263971951648,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.98564018374286,0.215538147352031,0.0,0.0,0.0,-0.0054143051863317,0.0595020224204958
scenario-1-7-rcat-0-icat,-0.0240754401154824,0.9978361561522182,0.9977666619068998,0.0,0.9957864278191532,0.0,0.9976117211855836,-0.0240754942454448,0.7740601788960512,0.8292564555214864,0.858995819902485,0.5836472689194804,-0.732811350184261,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.998802525332226,0.998802525332226,0.9351017676223038,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.99653021844666,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.9856604643051043,0.2517913952089596,0.0,0.0,0.0,-0.0062095416367933,0.0707167276241616
