Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0725479391532751,0.0845816478458756,0.099691673956109,0.2128177865616073,0.1197002850341512,0.1425262347569367,0.0999319558669852,0.0614446591958197,0.0595474595611471,0.1741285337774468,0.1558208908843124,0.0612452502356178,0.0,0.4378553427853717,0.3910004622042943,0.1057454119426668,0.1236828928709546,0.0,0.1013068473518539,0.0929419815830371,0.0865536126336786,0.0630754996686591,0.0,0.1076419235812222,0.1465761472204517,0.064677888404885,0.0657882019755713,0.0,0.1175068320289733,0.14961743003451,0.1230924671817783,0.0988360177779223,0.0,0.0553251121076233,0.0553251121076233,0.0553251121076233,0.0621835252220892,0.0
nursery,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0867507087034527,0.0263631814618588,0.0248306997742663,0.0850258790900744,0.0329441304232507,0.0248306997742663,0.1122705367072618,0.4935521688159416,-0.0261282660332541,0.0431087622977093,0.0,0.0726353133727105,0.0,-0.0261282660332541,0.0454395866401302,0.0248306997742663,0.0495465758206016,0.4935521688159416,-0.0261282660332541,0.0506093855056974,0.0248306997742663,0.0248306997742663,0.4935521688159416,0.0494527712243624,0.0447424605118441,0.0248306997742663,0.0248306997742663,0.5053657912141811,0.0248306997742663,0.0248306997742663,0.0,0.0248306997742663,0.0,0.0248306997742663
scenario-1-1-rcat-0-icat,0.0446164816135275,0.802345062361296,0.810838263956245,0.0,0.7185642463739255,0.0,0.7110383190480708,0.0446164816135275,0.4198012256593994,0.777961874899177,0.6717506408077714,0.3571291956862321,0.3168232082957489,0.0,0.0,0.0,0.0,-0.0489878089699138,0.9028134426836004,0.9223205897030106,0.9264640062016296,0.7137930633849294,0.6986375949248814,0.993379881871102,0.8272549908856228,0.993379881871102,0.9825669647792966,0.9551419686953656,0.9898388645284968,0.985613881476984,0.9898388645284968,0.9754377497614126,0.0446164816135275,0.0,0.0,0.0,0.0446355553355007,0.0446164816135275
scenario-1-2-rcat-0-icat,0.0446164816135275,0.916726506241773,0.9062715911201912,0.0,0.8462892584171602,0.0,0.8625553674279223,0.0446164816135275,0.8322719361804332,0.4829426229347631,0.7930665687424538,0.6380872220385598,0.3020043096207797,0.0,0.0,0.0,0.0,-0.0489878089699138,0.984234865298718,0.9724111914648474,0.985430724875418,0.8574501636805053,0.904637471911826,0.9982048126486538,0.9963993553467853,0.9982048126486538,0.9861896281589536,0.9909413833422288,0.9969977452519464,0.9921941376550608,0.9969977452519464,0.9815340022271054,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-3-rcat-0-icat,0.0446164816135275,0.967277013610709,0.9585355851321626,0.0,0.8908600285007042,0.0,0.9332799273446698,0.0446164816135275,0.8342973652717716,0.6760478825239973,0.6866255841253704,0.7159457318994051,0.3086216713607386,0.0,0.0,0.0,0.0,0.0,0.9975995702311902,0.9946021210516128,0.999400920725888,0.8812590410109103,0.9710836205151988,1.0,0.99880389075374,1.0,0.9891608607569125,1.0,1.0,0.9921941376550608,1.0,0.985613881476984,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-4-rcat-0-icat,0.0446164816135275,0.989110853194084,0.9861260956835493,0.0,0.92454549562304,0.0,0.9656471828641432,0.0446164816135275,0.8288493574838562,0.7957970398538567,0.915226771761222,0.7234012245004704,0.306972035211346,0.0,0.0,0.0,0.0,0.0,0.999400920725888,0.9988011567897488,1.0,0.8860947581169034,0.9866602706373768,1.0,1.0,1.0,0.9903762586333036,1.0,1.0,1.0,1.0,0.9880115678974868,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-5-rcat-0-icat,0.0446164816135275,0.9939782559760624,0.9921672363488748,0.0,0.9357517483916538,0.0,0.9824056411450968,0.0446164816135275,0.8731550250189932,0.9242469024122094,0.8283977726751066,0.6714666036755981,-16.285593626628263,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.90770987058629,-20.413242009132404,1.0,1.0,1.0,0.9910444979313894,0.4880458515283836,1.0,1.0,1.0,0.988617493791874,0.4880458515283836,0.0,0.0,0.0,0.0446546368323529,0.4880458515283836
scenario-1-6-rcat-0-icat,0.0446164816135275,0.9975995702311902,0.9970011783620072,0.0,0.9770118011875104,0.0,0.9909621957871634,0.0446164816135275,0.8395179517465595,0.7876194312892649,0.7876105671612048,0.6801396467872782,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9202974949066978,-20.413242009132404,1.0,1.0,1.0,0.9934025923964156,0.4880458515283836,1.0,1.0,1.0,0.9904202026578092,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-7-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9801624081971304,0.0,0.9963993553467853,0.0446164816135275,0.8489730906955368,0.8893027940283005,0.9189125988158224,0.6542037423091576,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.93320574897402,-20.413242009132404,1.0,1.0,1.0,0.9940057839487434,0.4880458515283836,1.0,1.0,1.0,0.9904420245196364,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
scenario-1-8-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9898388645284968,0.0,0.9976023135794972,0.0446164816135275,0.8693814923362239,0.923651651824208,0.8555938860379079,0.6771749694904398,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9425989833937088,-20.413242009132404,1.0,1.0,1.0,0.995811229513526,0.4880458515283836,1.0,1.0,1.0,0.993425147636086,0.4880458515283836,0.0,0.0,0.0,0.0446928231697175,0.4880458515283836
scenario-1-9-rcat-0-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9880389075374012,0.0,0.9982007070172042,0.0446164816135275,0.8472347851014688,0.9020425731883384,0.8678652888444067,0.7559670977109775,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9537395125960824,-20.413242009132404,1.0,1.0,1.0,0.9964157591948636,0.4880458515283836,1.0,1.0,1.0,0.9946021210516128,0.4880458515283836,0.0,0.0,0.0,0.0446928231697175,0.4880458515283836
scenario-1-9-rcat-1-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9928396736589084,0.0,0.9982007070172042,0.0446164816135275,0.8387232934960841,0.9004989865019238,0.8398913344203816,0.6886216236147701,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8682040957960878,-20.413242009132404,1.0,1.0,1.0,0.9385140360639304,0.4880458515283836,1.0,1.0,1.0,0.9867825132890388,0.4880458515283836,0.0,0.0,0.0,0.0446832736659316,0.4880458515283836
scenario-1-9-rcat-2-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9928396736589084,0.0,0.9976023135794972,0.0446164816135275,0.8119007756917616,0.8319683338301325,0.7823946722950075,0.613095226277369,-20.39445228267929,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7030360377865215,-20.413242009132404,1.0,1.0,1.0,0.8485745188448554,0.4880458515283836,1.0,1.0,1.0,0.8359467475913374,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
scenario-1-9-rcat-3-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9945897476901266,0.0,0.9970046036294404,0.0446164816135275,0.7664899639577657,0.892529847352548,0.8043779491380431,0.5610518927706108,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.727758154840839,-20.413242009132404,1.0,1.0,1.0,0.8240407546244015,0.4880458515283836,1.0,1.0,1.0,0.9010388859462344,0.4880458515283836,0.0,0.0,0.0,0.0446355553355007,0.4880458515283836
scenario-1-9-rcat-4-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9970011783620072,0.0,0.995811229513526,0.0446164816135275,0.7921950880466657,0.8697074711292122,0.7780570245666688,0.5161932108135941,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.6740104478228903,-20.413242009132404,1.0,1.0,1.0,0.8196861838239868,0.4880458515283836,1.0,1.0,1.0,0.8830520348107868,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-9-rcat-5-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.9952101013289044,0.0446164816135275,0.7482135629974245,0.7652817333520359,0.6782516384251944,0.5567374650433059,0.4095349621230905,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.6480727428455859,0.9957920259812096,1.0,1.0,1.0,0.788283192357702,1.0,1.0,1.0,1.0,0.892587304963865,0.0446164816135275,0.0,0.0,0.0,0.0446832736659316,0.0446164816135275
