Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.2109777015437393,0.1044776119402985,0.111756168359942,0.1396226415094339,0.6915520529049011,0.1913746630727762,0.111756168359942,0.1342952275249722,0.2560646900269542,0.2674805771365149,0.2162554426705369,0.1277451283637488,0.3660377358490567,0.0,0.0,0.0,0.115566037735849,0.0,0.1235544735240413,0.1044776119402985,0.1320754716981132,0.1355060034305317,0.2955974842767295,0.1727140783744558,0.1044776119402985,0.1044776119402985,0.1194968553459119,0.2955974842767295,0.1560891938250429,0.1044776119402985,0.1044776119402985,0.3660377358490567,0.1044776119402985,0.1698113207547169,0.0,0.1560891938250429,0.2162554426705369,0.1044776119402985
solar-flare_FvsAll-cleaned,0.13585291113381,0.1449973247726056,0.149904083310496,0.2014250479583447,0.2518726591760299,0.273876404494382,0.2193453834880313,0.0598839362884306,0.141648253490668,0.1477960242005185,0.1943486483479809,0.1207781318128458,-0.0394564933368173,0.4202247191011236,0.3701791679319769,0.0,0.0,0.0,0.126123595505618,0.1346021554689291,0.1145543289546958,0.1286995356750434,-0.0914927768860353,0.1208249961520701,0.1730905987768453,0.1130434782608695,0.1496919173613628,0.1561921224842572,0.1622314212497536,0.1652101539741989,0.1312069590431316,0.1566673733305066,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.0
bands_band_16_variant1ori,0.0497420497420497,0.2878411910669975,0.3530571992110454,0.0470835207677313,0.1489621489621489,0.0531931836279662,0.1903919834954318,0.1142741772663032,0.2010256410256411,0.2354312354312354,0.331002331002331,0.1163136380527685,0.1700404858299595,0.0,0.0,0.0,0.0,-0.0512820512820512,0.1739926739926739,0.3787878787878789,0.2602089268755935,0.2490842490842491,-0.0512820512820512,0.5094017094017095,0.2420989862850328,0.4913151364764269,0.4057971014492754,0.1276595744680851,0.5020242914979757,0.229059829059829,0.3880597014925374,0.3867521367521368,0.0473719828558538,0.1315496098104794,0.1016317016317016,0.1398601398601399,0.0593792172739541,0.0465116279069767
creditA_plus_42_variant1ori,0.0494117647058823,0.835915288656803,0.6655416162516716,0.0494117647058823,0.6257053819590668,0.8199070241355155,0.8334478493884843,0.082756271994551,0.3816512109480509,0.4357884510292064,0.5735792455974668,0.3068258112644536,0.0,0.0,0.0,0.0,0.0,0.0,0.6348664390439847,0.8334478493884843,0.7287579261469602,0.5537256477204258,0.0,0.5286928503972002,0.4415604361849178,0.7024837651469505,0.7046475195822455,0.0,0.439621409921671,0.2264577893820714,0.2465497948526669,0.5331079056628001,0.0,0.100618386697815,0.1139425587467363,0.0780001934048931,0.0559268929503916,0.0
sick_sick_35_variant1ori,0.0098759522023373,0.0270714237391333,0.1016488102967169,0.0099153911536301,0.0116950920427076,0.0404399079930994,0.0626306916200533,0.0100518029606132,0.1202674878035207,0.2121506612995974,0.2483250197253166,0.0140703718625699,0.0962591931236947,0.0,0.0,0.0,0.0,-0.0100632547441058,0.0981578082641912,0.1161946520989074,0.137750880096495,0.0734130473008616,0.0691573926868044,0.1600526618443751,0.1224040573534818,0.195025730990738,0.0771364507014285,0.1136179601225193,0.061657213048375,0.061038506459413,0.0977874418610143,0.1037466894524131,0.0098647125140924,0.0777683326249468,0.0386144924724776,0.0205006189585256,0.0445347590258458,0.0098647125140924
thyroid_disease_variant1ori,0.1855985864828396,0.057815003952907,0.0487759095152428,0.1804092505145901,0.2663699439506729,0.0713489811746259,0.0485405050836339,0.0678049572835033,0.2344482010301117,0.2639569076767784,0.2561697399628213,0.0526185306658879,0.169061864429833,0.0,0.0,0.0,0.0,-0.0537595350526698,0.1396520251785164,0.0755361134200504,0.0525407689219416,0.0597580484143727,-0.0537595350526698,0.2473146178195216,0.2366466360248376,0.0485405050836339,0.0630351882782545,0.0485405050836339,0.1569923719578641,0.134622057805908,0.0961656020483198,0.0632156372153037,0.0486412602118049,0.0,0.0,0.0,0.0485405050836339,0.0
anneal,0.0513408420488066,0.218046804680468,0.2402186421173762,0.0504253056884635,0.1507820136852395,0.2102272727272727,0.1062515915457092,0.1558352116203356,0.2360368389780155,0.8315151515151514,0.7814465408805031,0.1670058796924468,0.047945205479452,0.4539842873176207,0.5244379276637341,0.3903508771929825,0.0,-0.053030303030303,0.4225317693059628,0.6745179063360881,0.5916821273964131,0.4457735247208932,-0.053030303030303,0.5879446640316206,0.8049943883277216,0.5392992424242425,0.414983164983165,0.3065410199556541,0.2064842740198191,0.6622355631789594,0.3827063740856845,0.1842723004694835,0.0491702116485478,0.0835790335790335,0.0828445747800586,0.0986060606060606,0.0825082508250825,0.047945205479452
australian,0.0753880266075388,0.3820478441888363,0.5129174110210253,0.0753880266075388,0.2442635539855628,0.2954999232068807,0.3696578260272091,0.0753880266075388,0.216847602033805,0.3749637365825355,0.4500013458587924,0.2741514360313316,0.0787306688089978,0.4359369593255529,0.3813790647994303,0.5451961529563406,0.0,-0.0887728459530026,0.4235908462601751,0.3992977401638606,0.4235908462601752,0.3951261966927763,0.1404424900371032,0.4359369593255529,0.4429534276519522,0.5333830660201418,0.2741514360313316,0.3574455335359329,0.3208644624253548,0.1778654020354877,0.2596344647519582,0.2899307526393461,0.0768570277042774,0.1493962140992167,0.1303512488299916,0.103620749315801,0.1720789817232376,0.0753880266075388
crx,0.0764038948912898,0.4551820728291317,0.4551820728291318,0.0760095011876484,0.2162268416138385,0.394646747587924,0.4218258732064254,0.2173038229376258,0.1733796967062687,0.3808887191240133,0.3400796938493707,0.3189775910364146,0.0348939575830332,0.2939159663865547,0.3631998253846993,0.349881128922157,0.0,-0.0896358543417367,0.2995198079231693,0.3788057278986361,0.3287843137254902,0.4551820728291317,0.0971588635454181,0.3015154779860662,0.3209515690334105,0.402457757296467,0.4007002801120449,0.2345533254624164,0.2681550232033112,0.1850622601981969,0.2088945167107939,0.3033475685356109,0.0771983434522134,0.1033853541416566,0.131449681321804,0.1050541253965563,0.0900381429167411,0.0760095011876484
ecoli,0.0387688665285587,0.1887976822790922,0.4560172692930383,0.0260869565217391,0.0752293577981651,0.3976589686807972,0.0892410341951626,0.0260869565217391,0.871559633027523,0.871559633027523,0.8186724230976795,0.1779816513761468,0.729599227426364,0.3834862385321101,0.3834862385321101,0.3834862385321101,0.0,-0.0275229357798165,0.729599227426364,0.6917431192660551,0.729599227426364,0.3149847094801223,0.4862385321100917,0.8186724230976795,0.8186724230976795,0.8186724230976795,0.3247706422018349,0.6574923547400611,0.7716615698267074,0.729599227426364,0.729599227426364,0.2293577981651376,0.0263995506459464,0.0333172380492515,0.0306387398303617,0.0295616717635066,0.0324159021406727,0.0260869565217391
