Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,0.0098759522023373,0.0270714237391333,0.1016488102967169,0.0099153911536301,0.0116950920427076,0.0404399079930994,0.0626306916200533,0.0100518029606132,0.1202674878035207,0.2121506612995974,0.2483250197253166,0.0140703718625699,0.0962591931236947,0.0,0.0,0.0,0.0,-0.0100632547441058,0.0981578082641912,0.1161946520989074,0.137750880096495,0.0734130473008616,0.0691573926868044,0.1600526618443751,0.1224040573534818,0.195025730990738,0.0771364507014285,0.1136179601225193,0.061657213048375,0.061038506459413,0.0977874418610143,0.1037466894524131,0.0098647125140924,0.0777683326249468,0.0386144924724776,0.0205006189585256,0.0445347590258458,0.0098647125140924
thyroid_disease_variant1ori,0.1855985864828396,0.057815003952907,0.0487759095152428,0.1804092505145901,0.2663699439506729,0.0713489811746259,0.0485405050836339,0.0678049572835033,0.2344482010301117,0.2639569076767784,0.2561697399628213,0.0526185306658879,0.169061864429833,0.0,0.0,0.0,0.0,-0.0537595350526698,0.1396520251785164,0.0755361134200504,0.0525407689219416,0.0597580484143727,-0.0537595350526698,0.2473146178195216,0.2366466360248376,0.0485405050836339,0.0630351882782545,0.0485405050836339,0.1569923719578641,0.134622057805908,0.0961656020483198,0.0632156372153037,0.0486412602118049,0.0,0.0,0.0,0.0485405050836339,0.0
ecoli,0.0387688665285587,0.1887976822790922,0.4560172692930383,0.0260869565217391,0.0752293577981651,0.3976589686807972,0.0892410341951626,0.0260869565217391,0.871559633027523,0.871559633027523,0.8186724230976795,0.1779816513761468,0.729599227426364,0.3834862385321101,0.3834862385321101,0.3834862385321101,0.0,-0.0275229357798165,0.729599227426364,0.6917431192660551,0.729599227426364,0.3149847094801223,0.4862385321100917,0.8186724230976795,0.8186724230976795,0.8186724230976795,0.3247706422018349,0.6574923547400611,0.7716615698267074,0.729599227426364,0.729599227426364,0.2293577981651376,0.0263995506459464,0.0333172380492515,0.0306387398303617,0.0295616717635066,0.0324159021406727,0.0260869565217391
heart,0.0738636363636363,0.4204444444444444,0.5594594594594594,0.0747809523809523,0.1023188405797101,0.6377777777777778,0.3136842105263158,0.1264052287581699,0.4566666666666666,0.4767901234567902,0.4566666666666666,0.3158024691358025,0.3402380952380952,0.348,0.3373983739837398,0.5060606060606061,0.0,-0.0866666666666666,0.4349333333333334,0.3962962962962962,0.5060606060606061,0.3084848484848485,0.2031111111111112,0.4307936507936508,0.3607843137254901,0.5653333333333334,0.3480000000000001,0.187859649122807,0.3125170068027211,0.3112676056338028,0.2755555555555555,0.2529166666666667,0.0757088122605363,0.2031111111111111,0.2176,0.1421052631578947,0.0944444444444444,0.0738636363636363
hepatitis,0.0460739779364049,0.4776119402985074,0.3731343283582089,0.0487859211405658,0.0781387181738366,0.3731343283582089,0.2537313432835821,0.0516647531572904,0.6517412935323383,0.4776119402985074,0.4776119402985074,0.1293532338308457,0.3731343283582089,0.1159586681974741,0.2010535557506584,0.1100055279159756,0.0,-0.044776119402985,0.4776119402985074,0.3351424694708276,0.3034825870646765,0.1293532338308458,-0.044776119402985,0.2766934557979333,0.3034825870646765,0.2010535557506584,0.2537313432835821,0.0735004224162207,0.1641791044776119,0.0757749712973593,0.1641791044776119,0.1451831750339212,0.0422885572139303,0.1511194029850746,0.1010065949323151,0.1451831750339212,0.0614722995193523,0.0410958904109588
lymphography,0.0389610389610389,0.7915492957746479,0.9198266522210184,0.0389610389610389,0.7594799566630551,0.7594799566630551,0.7915492957746479,0.0394918530792598,0.4788732394366197,0.5136150234741784,0.4788732394366197,0.4209702660406885,0.3051643192488263,0.6934548467274233,0.7594799566630551,0.8262910798122066,0.0,-0.0422535211267605,0.7915492957746479,1.0,1.0,0.2784398699891657,0.6525821596244131,0.8511066398390341,1.0,0.9198266522210184,0.4788732394366197,0.0483772198407838,0.6091549295774648,0.3051643192488263,0.6525821596244131,0.5830985915492958,0.040574573267419,0.2183098591549296,0.1390079608083282,0.0389610389610389,0.093692590324556,0.0389610389610389
nursery,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0867507087034527,0.0263631814618588,0.0248306997742663,0.0850258790900744,0.0329441304232507,0.0248306997742663,0.1122705367072618,0.4935521688159416,-0.0261282660332541,0.0431087622977093,0.0,0.0726353133727105,0.0,-0.0261282660332541,0.0454395866401302,0.0248306997742663,0.0495465758206016,0.4935521688159416,-0.0261282660332541,0.0506093855056974,0.0248306997742663,0.0248306997742663,0.4935521688159416,0.0494527712243624,0.0447424605118441,0.0248306997742663,0.0248306997742663,0.5053657912141811,0.0248306997742663,0.0248306997742663,0.0,0.0248306997742663,0.0,0.0248306997742663
cmc-nominal,0.1367746900854841,0.0470739208627545,0.0470739208627545,0.0467445742904841,0.0669208621897128,0.0833524444907745,0.0496794290573078,0.1329197764207941,0.0963110036832412,0.1208223892763336,0.0871025843401533,0.0547300396912459,-0.0515653775322283,0.0,0.0,0.0,0.0698624951620243,-0.0515653775322283,0.054653347471027,0.0527220979255132,0.0739946675462466,0.0467445742904841,-0.0515653775322283,0.0591257148395851,0.0603032796520512,0.0475720991374766,0.0467445742904841,0.0470739208627545,0.1166850828729281,0.0629615447732618,0.0703552459497691,0.0545385164169694,0.0467445742904841,0.0522454641254322,0.0519278757925603,0.0519278757925603,0.0467445742904841,0.0467445742904841
Average ADJ_MAX_F1,0.069±0.06,0.254±0.28,0.316±0.32,0.056±0.05,0.181±0.25,0.299±0.29,0.204±0.26,0.067±0.04,0.368±0.3,0.37±0.27,0.367±0.24,0.207±0.18,0.242±0.25,0.198±0.25,0.21±0.27,0.237±0.31,0.009±0.02,-0.043±0.02,0.346±0.3,0.337±0.35,0.357±0.36,0.213±0.16,0.154±0.27,0.362±0.32,0.366±0.36,0.353±0.36,0.261±0.18,0.153±0.21,0.28±0.27,0.213±0.24,0.264±0.27,0.242±0.2,0.039±0.02,0.095±0.08,0.072±0.08,0.057±0.06,0.053±0.03,0.033±0.02
Average Rank,23.125±13.14,16.375±8.53,13.0±8.28,26.875±9.48,17.75±11.72,12.0±7.11,18.625±6.02,22.625±12.51,7.75±6.61,6.5±7.27,5.875±6.06,19.25±7.94,18.625±12.11,22.625±8.52,23.625±9.29,19.75±12.21,31.5±9.15,37.25±0.89,9.75±4.1,11.5±5.48,8.5±6.28,19.625±7.84,27.5±10.21,7.75±4.1,8.5±5.61,11.5±9.62,16.375±7.31,21.25±8.55,13.5±6.02,17.875±6.83,14.375±4.81,16.25±7.52,28.875±5.89,22.75±5.8,26.875±3.94,25.75±6.04,28.375±3.5,30.25±6.07
