Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0443352131855045,0.0733925884602696,0.0561734031122607,0.0530276811032049,0.0949165701452808,0.0949165701452808,0.0873831765555269,0.0411066159327529,0.0109730415737372,0.1465741261893075,0.1541075197790614,-0.0105509401112738,0.0,0.4210048926731998,0.3553567485339158,0.0970689683137819,-0.0094747410270233,0.0,0.0809259820500235,0.0561734031122607,0.052944805859509,0.0002110507312317,0.0,0.0841545793027752,0.1293549408412986,0.0303446250902473,0.0045158470682339,0.0,0.0927641719767796,0.089535574724028,0.1153643527460414,0.0615543985335135,0.0,-0.0019413474372694,0.0077444443209856,0.0098968424894867,0.0034396479839833,0.0
census-income-full-nominal,0.1224876440647757,-0.0478681270874583,-0.0495836937657286,-0.0521570437831339,-0.0878408306911548,0.0,-0.0504414771048637,0.006686893281535,-0.030540903636929,0.058497006965296,0.0106326966415565,0.0121837526863729,0.0611425754395264,0.0,0.0,0.0,-0.0005702263501628,0.0,-0.038260953689145,-0.0512992604439988,-0.0386040670247991,0.0076581472217957,0.0130065900435688,-0.0154439168681509,-0.0317418003117181,-0.0283106669551777,0.0101266592933833,0.0537370392247637,0.0322488367877615,0.014235386665924,0.0850882904784847,0.0419430371049564,0.1083185839187556,-0.0051505167985295,0.0027410899215135,-0.0024056101132972,0.0047782164716102,0.0
chess_krkopt_zerovsall,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0361094263481077,0.0,-0.0009632880231189,0.0,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.1844002838330141,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.1844002838330141,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.0296495956873315,0.5817654954642726,0.0296495956873315,-0.1320754716981132,-0.1320754716981132,0.0296495956873315,0.1913746630727762,0.0296495956873315,-0.0566037735849056,0.2955974842767295,0.0,0.0,0.0,-0.1320754716981132,0.0,0.0296495956873315,0.0296495956873315,0.0296495956873315,0.0296495956873315,0.2955974842767295,0.0296495956873315,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.2955974842767295,-0.1320754716981132,-0.1320754716981132,-0.1320754716981132,0.2955974842767295,0.2955974842767295,-0.1320754716981132,0.0,-0.1320754716981132,0.1913746630727762,-0.0566037735849056
solar-flare_FvsAll-cleaned,0.0846441947565543,0.0846441947565543,0.0846441947565543,0.0846441947565543,0.1550561797752809,0.2254681647940075,0.1550561797752809,-0.0561797752808988,0.0008643042350907,0.1477960242005185,0.1477960242005185,-0.0579083837510803,0.1771823681936041,0.4122731201382886,0.1771823681936041,0.0,0.0,0.0,0.0302506482281763,0.0890233362143474,0.0302506482281763,0.0890233362143474,0.0596369922212619,0.0596369922212619,0.1477960242005185,0.0596369922212619,0.0890233362143474,0.1477960242005185,0.0596369922212619,0.118409680207433,0.0890233362143474,0.118409680207433,0.0302506482281763,-0.0579083837510803,-0.0285220397579948,0.0302506482281763,0.0008643042350907,0.0
lymphography,-0.0422535211267605,0.6525821596244131,0.8262910798122066,-0.0422535211267605,0.6525821596244131,0.6525821596244131,0.6525821596244131,-0.0422535211267605,0.4788732394366197,0.4788732394366197,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.6525821596244131,0.8262910798122066,0.0,0.4788732394366197,0.6525821596244131,1.0,1.0,0.1314553990610328,0.8262910798122066,0.8262910798122066,1.0,0.8262910798122066,0.3051643192488263,0.6525821596244131,0.4788732394366197,0.3051643192488263,0.4788732394366197,0.4788732394366197,0.4788732394366197,0.1314553990610328,0.1314553990610328,-0.0422535211267605,-0.0422535211267605,-0.0422535211267605
nursery,0.1044698769164327,0.1044698769164327,0.1044698769164327,0.1044698769164327,0.1044698769164327,-0.0261282660332541,-0.0261282660332541,0.0671561217879507,-0.004361908874973,0.1044698769164327,0.0702656013819909,0.1169077952925926,0.0142949686892679,0.0049665299071474,0.0,0.1044698769164327,0.0,-0.0261282660332541,0.0267328870654286,0.1044698769164327,0.0174044482833081,0.2754912545886417,0.0111854890952278,0.0018570503131073,0.1044698769164327,0.1044698769164327,0.2381774994601597,0.1044698769164327,-0.0074713884690131,0.1044698769164327,0.1044698769164327,0.1448931116389517,0.1044698769164327,0.073375080976031,0.0,0.1044698769164327,0.0,0.1044698769164327
cmc-nominal,0.0611023414890818,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,0.0986582478295185,0.023546435148645,0.0986582478295185,0.023546435148645,-0.0140094711917916,0.023546435148645,0.0,0.0,0.0,0.023546435148645,0.1737700605103919,-0.0140094711917916,0.023546435148645,0.023546435148645,-0.0140094711917916,0.0611023414890818,0.023546435148645,0.023546435148645,0.0986582478295185,-0.0140094711917916,0.0611023414890818,0.0986582478295185,0.023546435148645,0.023546435148645,-0.0140094711917916,0.023546435148645,-0.0140094711917916,-0.0515653775322283,-0.0140094711917916,-0.0140094711917916,-0.0515653775322283
Average ADJ_R_PRECISION,0.05±0.05,0.09±0.24,0.13±0.29,0.02±0.06,0.186±0.28,0.12±0.23,0.084±0.25,-0.002±0.07,0.064±0.17,0.153±0.14,0.093±0.1,0.037±0.12,0.109±0.13,0.143±0.2,0.153±0.24,0.128±0.29,-0.015±0.05,0.078±0.17,0.096±0.23,0.156±0.34,0.139±0.35,0.065±0.1,0.158±0.29,0.126±0.28,0.198±0.33,0.12±0.3,0.083±0.12,0.164±0.22,0.078±0.18,0.088±0.13,0.095±0.17,0.141±0.17,0.13±0.17,-0.001±0.08,0.008±0.05,-0.006±0.07,0.018±0.07,-0.006±0.05
Average Rank,12.375±10.6,17.25±10.33,14.5±10.36,18.75±11.83,12.0±12.34,14.0±11.08,19.5±12.81,20.875±12.14,19.625±10.69,6.625±4.17,11.5±7.25,21.25±12.95,13.0±11.41,15.0±10.5,13.375±10.56,13.875±10.25,24.875±11.03,19.75±12.63,17.75±9.08,12.125±10.79,16.0±10.94,15.625±10.38,13.375±10.98,14.875±9.54,8.375±9.27,14.875±11.46,14.625±8.85,9.0±8.72,16.0±11.54,12.25±9.25,11.0±8.43,10.625±7.27,12.0±10.64,26.0±9.52,25.375±9.87,21.5±10.07,21.625±10.39,23.125±12.73
