Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0140536786338683,0.0286412807376026,0.0248110639308598,0.0383467082230072,0.0416899006354589,0.0558169016264328,0.0347739930170822,0.009088186988722,0.0022240190786112,0.0765148371372361,0.0683712460682481,-0.0080077882378529,0.0,0.2531635421972993,0.2057426089864019,0.0366194038713143,0.0148968105379446,0.0,0.0376176171583347,0.0181457913175049,0.0184402663715543,-0.0019960716564163,0.0,0.0301305868499829,0.0468571792273072,-0.0073347487539408,-0.0013807866381287,0.0,0.0350987331274784,0.0366090479388047,0.0372454127079555,0.0160143950991143,0.0,-0.0083599823100819,-0.001928145047035,-0.0168348774057438,-0.0046434824166205,0.0
chess_krkopt_zerovsall,-0.0002421752183361,0.0008152861786235,0.0003771306387025,-0.0002661315968308,-0.0003042853435131,-0.0003032412361793,0.0034513432608892,-0.0003630027188583,0.0002122624680489,0.0070687725736181,0.0021941833896269,0.00010016767286,-0.0001417285036327,0.0001873881931228,0.0064205276146814,0.0,4.620985652730575e-05,0.0,1.1047130475241344e-05,0.0002701169002029,0.0014326369314988,-0.0001353482448241,0.0018913745204555,0.0003074185751592,0.0310973680010355,5.186353303650141e-05,3.478636037305914e-05,0.0014507769400682,0.0013002809313372,0.1251685317364169,0.0001120382907269,3.478636037305914e-05,0.0017235759602635,0.0001355546908798,-9.039424962898746e-05,3.478636037305914e-05,-9.426916976422812e-05,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0976468147783717,-0.0441307925274836,-0.018280405844168,0.0495656386392447,0.5289848314737279,0.0777660253058287,-0.0377381037212484,0.0252225182373717,0.0808676199511778,0.1483704974271011,0.0698218373420529,0.0401775804661487,0.1002925689942658,0.0,0.0,0.0,-0.0090294917881124,0.0,0.0153313363296312,0.0423273872799782,0.0533714981979196,0.0292768028617085,0.1636357726748249,0.0133092585017257,0.063565300416243,-0.0186571663805058,0.0390775681341719,0.1666132098713783,0.0004373680059191,-0.0227853270220887,-0.010965543112488,0.0831027253668763,0.1666132098713783,0.0178614866369858,0.0,-0.0038918309142218,0.0880180616029672,0.0127401993685832
solar-flare_FvsAll-cleaned,0.0490691567296972,0.0283345066047532,0.0395115235017591,0.060424571982747,0.1298863957101296,0.1198664741335528,0.0890376244564199,-0.0073573827594754,0.0144394005441521,0.057417767337724,0.0813073164538283,0.0107930875088521,0.0571988315363231,0.1956810848526884,0.1611588803830478,0.0,0.0,0.0,0.010080307898844,0.0180065035446406,0.0138518131012818,0.0502550329494059,0.0140815920555869,0.0150628502048051,0.0398656976106876,0.0016727218051154,0.0851643089003859,0.0493839001422321,0.0179800490223037,0.0299871280306418,0.0156366542907423,0.0567157105297063,0.0539982064604837,0.0048921093085452,0.010805033273244,0.0064781508644624,0.0094689186632979,0.0
creditA_plus_42_variant1ori,-0.0254100383291575,0.8201232007106052,0.587524042741687,-0.0190627864919468,0.5918820809025445,0.8132922276090299,0.8204141303700985,0.0217377954009134,0.2635770312409364,0.3478346957990306,0.3863000843511917,0.2164547275980793,0.0,0.0,0.0,0.0,0.0,0.0,0.5325715509585623,0.7925565287333356,0.6472643134080497,0.4734264426078001,0.0,0.4105963952968042,0.3213345972256103,0.638623889788139,0.5762409080540456,0.0,0.2791785571040924,0.1440238687410349,0.1582537946838512,0.3857519483510023,0.0,0.0618078679031403,0.0747697040504757,0.0458441581560683,0.0361277178830337,0.0
anneal,-0.01606881583245,0.0932366581898899,0.1078885842848881,-0.0189376543314082,0.0502008345287894,0.0641071843192868,0.0171258737512674,0.0099744763409878,0.1361139117726527,0.6873221732754036,0.6248489242020742,0.05359221961002,0.0596794381496569,0.3224775264909718,0.3489605828576625,0.2621381378921582,0.0,0.1615432636793502,0.2476293010192158,0.5128719263624845,0.4826910568039318,0.3035264215830594,0.2371427501311583,0.3724522924042434,0.5576161213733313,0.3578492793889892,0.2940747025947406,0.2227066260820202,0.1210033592233176,0.4946969290833671,0.2523757144713734,0.091654253921005,0.0827793561259533,0.017449323286216,0.0135734049982485,0.0168393987191931,0.0247894753739745,0.0102298069395997
australian,-0.020533034144572,0.2907709717509028,0.3957021094006265,-0.0198773681388772,0.1248636542040018,0.1459980049044153,0.3012004156662659,-0.0280241975869689,0.130935310511376,0.2146517529372319,0.346059799961451,0.1476559775142662,0.4952821412269828,0.318030937428497,0.2501311408671575,0.4516920578301702,0.0,0.1899723785663632,0.3118738496375131,0.3383532459154743,0.3500570265112769,0.247098973727534,0.4687354284597513,0.3130368061147933,0.2538801974702447,0.4110532692865677,0.2049689724528103,0.3169237353251299,0.174877062170112,0.0841834209012335,0.0981043407581821,0.1567857038653181,0.0314683447127941,0.0496172130131429,0.0677819491326061,0.0313576713703308,0.06549826262707,0.0222641912251777
crx,-0.0266622366563774,0.3264162681007909,0.3525875380657424,-0.0303894727171807,0.1216346448948428,0.2294504992145901,0.2631377010834572,0.0896501624295178,0.066210046135311,0.2043966701735914,0.1638779118855376,0.2237676531096435,0.2947878852415088,0.1461870772781792,0.1873958918688862,0.2243204345407003,0.0,0.1531480193257099,0.1767366755294571,0.2455180530928161,0.2247266924651679,0.3224995469708411,0.2754352084545369,0.1458011672430329,0.1752304369878742,0.2514629248866095,0.2309546229713615,0.1682922736973613,0.1066109800333013,0.059308306996836,0.0985239755468678,0.1659990453002778,0.0577522207059759,0.0595810843139562,0.0592932114358125,0.106192680017299,0.01808845387272,0.036120358279926
ecoli,-0.0061949136138259,0.0559956643492277,0.2545270208332902,-0.0116473436961802,0.014457810795991,0.2494158049061558,0.0256288413213482,-0.0109368784519277,0.6663134687214931,0.6685170411736029,0.6513408440013946,0.0541826842035076,0.6529263435617287,0.1653107558467288,0.1653107558467288,0.1653107558467288,0.0,0.2094884058760401,0.5062954052599538,0.4880262907826763,0.5101776705516534,0.0844793799478382,0.4793536510539121,0.5779552256548309,0.5779552256548309,0.5779552256548309,0.133531717544842,0.5183319945917884,0.4852065053000474,0.5156394548499922,0.4966112523355512,0.1153662293700375,0.2969360687565669,-0.0030508926596782,-0.0050771099787592,-0.0015398460560601,-0.0016452949150968,-0.0029240263842238
heart,-0.0136995592048621,0.2241627676630669,0.3675078143836174,-0.0080097190481903,0.0124650636324532,0.6295404287070953,0.2116842645406902,0.0136454875835923,0.2754424863834779,0.3720523514035435,0.3007807474216942,0.1799927382825764,0.2524751152033426,0.202830370867231,0.2191636748076612,0.3198371171989248,0.0,0.2596949440313951,0.3307013506691746,0.3061568054303473,0.4277330747402366,0.1632657858923583,0.3851496542144316,0.2816709794553192,0.214629670271557,0.4683689497462158,0.205510316415234,0.3272378083204522,0.1303981107764183,0.1700690487673246,0.1825184573208169,0.1263107567921751,0.1176465015807927,0.113622705462466,0.0813894622764855,0.0538844179243328,0.0383805078922018,0.0962835622250741
